source_id,source_title,notebook_present,local_relpath,local_filename,current_folder,local_present,source_to_local_score,audit_count,audit_titles,audit_verdicts,candidate_bins,conflicting_audits,screening_bucket,screening_notes
9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,Burmester_2017_Temperature_and_symbiosis_affect_lesion_recovery_in_experime..._doi-10.3354-meps12114.pdf,1,"literature/high_confidence/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",high_confidence,1,1.082,1,5. Burmester et al. (2017),"[Include in Bins 1, 2]",rate|growth,0,include_primary,"[Include in Bins 1, 2] This study successfully isolates the impacts of temperature and symbioses on wound closure and organismal mass, providing clearly reported initial wound sizes, SE, and sample sizes."
daec544d-cfab-46db-be2a-1d3596bc0395,Burmester_2018_The_impact_of_autotrophic_versus_heterotrophic_nutritional_p..._doi-10.1002-ece3.4531.pdf,1,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,META_ANALYSIS_POOL,1,1.080,1,1. Burmester et al. (2018),[Exclude],rate|growth,0,review_fulltext_needed,"[Exclude] The paper lacks a standardized daily regeneration rate, an un-wounded control group for growth comparisons, and fails to report variance metrics for its proportional healing data in the text."
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron_2014_Effects_of_simulated_fish_predation_on_small_colonies_of_mas..._doi-10.3354-meps10862.pdf,1,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,META_ANALYSIS_POOL,1,1.072,1,2. Cameron and Edmunds (2014),"[Include in Bins 1, 2]",rate|growth,0,include_primary,"[Include in Bins 1, 2] Exceptional primary data source that provides raw, extractable quantitative means, SE, and sample sizes for both wound healing trajectories and whole-colony calcification tradeoffs."
9f7a74ab-485d-44be-88c3-28c6b4a7c491,Chadwick_1990_Regeneration_after_experimental_breakage_in_the_solitary_ree..._doi-10.1016-0022-0981_90_90093-r.pdf,1,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,META_ANALYSIS_POOL,1,0.983,2,3. Chadwick and Loya (1990) || 3. Chadwick and Loya (1990) [Regeneration after experimental breakage in the solitary reef coral *Fungia granulosa*...],[Exclude],,0,review_fulltext_needed,"[Exclude] Primary quantitative data (means, variance, sample sizes) for the regeneration variables cannot be extracted from the provided text excerpts. || [Exclude] Primary quantitative data cannot be extracted from the provided text fragments."
4e3fb9f0-e78a-40f5-abc2-01412b9ab7fb,Chong-Seng_2011_Selective_feeding_by_coral_reef_fishes_on_coral_lesions_asso..._doi-10.1007-s00338-010-0707-1.pdf,1,literature/META_ANALYSIS_POOL/Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,META_ANALYSIS_POOL,1,1.087,2,4. Chong-Seng et al. (2011) || 4. Chong-Seng et al. (2011) [Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di...],[Exclude],,0,exclude_scope,"[Exclude] Lacks any macroscopic tissue outcomes, methodology, or primary data in the provided text. || [Exclude] Primary text, methods, and quantitative data are missing from the provided excerpts."
d86a557e-5735-4326-9f08-979e13c7ee6d,Comeau_2014_Effects_of_irradiance_on_the_response_of_the_coral_Acropora..._doi-10.1016-j.jembe.2013.12.013.pdf,1,literature/META_ANALYSIS_POOL/Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,META_ANALYSIS_POOL,1,1.125,2,5. Comeau et al. (2014) || 5. Comeau et al. (2014) [Effects of irradiance on the response of the coral *Acropora pulchra* and the calcifying alga...],[Exclude],,0,exclude_scope,[Exclude] The study does not evaluate wound healing or the physiological consequences of physical injury. || [Exclude] Lacks relevant experimental wounding treatments and the raw data cannot be extracted from the provided text fragment.
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,1,,,,0,,0,,,,0,review_needed,No audit record yet.
deff576c-ed14-48e7-884a-51d6447654a4,Coral_Regeneration_Review_Annual_Review_Marine_Science_10_31_2025.pdf,1,,,,0,,0,,,,0,review_needed,No audit record yet.
,,0,literature/EXCLUDED_FINAL/Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
,,0,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,META_ANALYSIS_POOL,1,,0,,,,0,review_needed,No audit record yet.
ec19aed9-6875-473a-accb-914b065e6e10,Counsell_2019_Colony_size_and_depth_affect_wound_repair_in_a_branching_cor..._doi-10.1007-s00227-019-3601-6.pdf,1,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,META_ANALYSIS_POOL,1,1.147,2,1 & 2. Counsell et al. 2019 (Colony size and depth affect wound repair in a branching coral) || 1. Counsell et al. (2019) [Colony size and depth affect wound repair in a branching coral],"[Exclude] || [Include in Bins 1, 4]",rate|survival,1,include_primary_conflicted,"[Exclude] The study reports the total time to heal rather than a standardized continuous daily rate, and it fails to report a standard measure of variance (SD/SE/CI) for the healing metric in the text. || [Include in Bins 1, 4] Robust primary field data linking wound recovery time and partial mortality to colony depth and size."
740435e0-2577-4691-baa4-77cc09e904e9,Cox_2014_Corallivory_The_Coral_s_Point_of_View.pdf,1,literature/META_ANALYSIS_POOL/Cox - 2014 - Corallivory The Coral’s Point of View.pdf,Cox - 2014 - Corallivory The Coral’s Point of View.pdf,META_ANALYSIS_POOL,1,1.077,2,3. Cox 2014 (Corallivory: The Coral’s Point of View) || 2. Cox (2014) [Corallivory The Coral’s Point of View],[Exclude],,0,review_fulltext_needed,"[Exclude] The paper is missing from the corpus, preventing any data extraction. || [Exclude] The source text is missing from the data pool, preventing any data extraction."
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Croquer_2002_Environmental_factors_affecting_tissue_regeneration_of_the_r....pdf,1,literature/extraction_ready/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,extraction_ready,1,1.081,0,,,,0,review_needed,No audit record yet.
bcc5b4a2-3f38-42ed-8309-63964483f263,Cunning_2018_Comparative_analysis_of_the_Pocillopora_damicornis_genome..._doi-10.1038-s41598-018-34459-8.pdf,1,literature/MECHANISMS_ONLY/Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,MECHANISMS_ONLY,1,1.123,0,,,,0,review_needed,No audit record yet.
2f44d6fc-1aa4-4747-a000-1c5be042d723,D_Angelo_2012_Locally_accelerated_growth_is_part_of_the_innate_immune_resp..._doi-10.1007-s00338-012-0926-8.pdf,1,literature/META_ANALYSIS_POOL/D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,META_ANALYSIS_POOL,1,1.089,2,4. D’Angelo et al. 2012 (Locally accelerated growth is part of the innate immune response and repair...) || 3. D’Angelo et al. (2012) [Locally accelerated growth is part of the innate immune response and repair mechanisms...],[Narrative/Mechanism Only],rate|growth|mechanism,0,include_mechanism_only,"[Narrative/Mechanism Only] The study lacks extractable quantitative macroscopic data for continuous temporal healing rates or whole-colony growth costs, focusing instead on cellular biomarkers. || [Narrative/Mechanism Only] Excellent mechanistic study documenting the innate immune response and localized accelerated cellular growth (Bin 5), but it lacks the extractable macroscopic tissue regeneration data needed for Bins 1–4."
83a15da3-d64e-494a-94ee-a253c2392c96,Da_Silveira_1977_Regeneration_in_the_Gorgonian_Plexura_Flexuosa_Cnida..._doi-10.1163-26660644-04701002.pdf,1,"literature/Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf","Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf",literature,1,1.101,0,,,,0,review_needed,No audit record yet.
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,DeFilippo_2016_Patterns_of_surface_lesion_recovery_in_the_Northern_Star_..._doi-10.1016-j.jembe.2016.03.016.pdf,1,"literature/high_confidence/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",high_confidence,1,1.146,1,5. DeFilippo et al. 2016 (Patterns of surface lesion recovery in the Northern Star Coral),[Exclude],rate,0,review_fulltext_needed,[Exclude] The study does not provide a standardized daily continuous regeneration rate and lacks extractable raw means and variances for macroscopic healing or mortality within the text itself.
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis_2011_Lesion_regeneration_capacities_in_populations_of_the_massive..._doi-10.3354-meps09060.pdf,1,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,META_ANALYSIS_POOL,1,1.129,2,1. Denis et al. (2011) [Lesion regeneration capacities in populations of the massive coral *Porites lutea*...] || 4. Denis et al. (2011) [Lesion regeneration capacities in populations of the massive coral Porites lutea...],[Include in Bin 1],rate,0,include_primary,"[Include in Bin 1] Provides highly standardized, extractable quantitative data on continuous tissue regeneration rates. || [Include in Bin 1] Highly precise primary data source modeling continuous tissue regeneration dynamics under seasonal variations, but effect sizes will need to be digitized from the figures."
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,1,,,,0,,0,,,,0,review_needed,No audit record yet.
3d374a40-79d3-413b-99c2-670f9da97bef,Dias_2018_Mortality_growth_and_regeneration_following_fragmentation_o..._doi-10.1016-j.seares.2018.08.008.pdf,1,"literature/high_confidence/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",high_confidence,1,1.075,1,"2. Dias et al. (2018) [Mortality, growth and regeneration following fragmentation...]",[Exclude],,0,review_fulltext_needed,"[Exclude] While the study measures the exact variables required for Bins 1, 2, and 4, the provided text excerpts are deficient in raw extractable data (means, variances, and sample sizes), making extraction impossible without access to the paper's figures/raw tables."
a1481487-85d7-43d6-9260-5bdb0970ebdd,Diaz-Pulido_2009_Doom_and_Boom_on_a_Resilient_Reef_Climate_Change_..._doi-10.1371-journal.pone.0005239.pdf,1,"literature/Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf","Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf",literature,1,1.127,1,3. Diaz-Pulido et al. (2009) [Doom and Boom on a Resilient Reef...],[Exclude],,0,exclude_scope,[Exclude] Does not meet the criteria for a wound-regeneration or energetic cost study.
,,0,literature/META_ANALYSIS_POOL/Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,META_ANALYSIS_POOL,1,,1,1. Doo et al. (2018) [Obligate ectosymbionts increase the physiological...],[Exclude],,0,review_fulltext_needed,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
c849a042-644e-4b4f-a530-33cfb800d9a9,E_1996_Regeneration_versus_budding_in_fungiid_corals_a_trade-off_doi-10.3354-meps134179.pdf,1,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,META_ANALYSIS_POOL,1,1.187,0,,,,0,review_needed,No audit record yet.
,,0,literature/extraction_ready/Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,extraction_ready,1,,0,,,,0,review_needed,No audit record yet.
,,0,literature/META_ANALYSIS_POOL/Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,META_ANALYSIS_POOL,1,,2,4. Edmunds and Burgess (2017) [Colony size and turbulent flow speed modulate...] || 3. Edmunds and Burgess (2017) [Colony size and turbulent flow speed modulate the...],[Exclude],,0,review_fulltext_needed,[Exclude] Paper is missing from the data pool. || [Exclude] The source text is missing from the data pool.
,,0,literature/EXCLUDED_FINAL/Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
,,0,literature/META_ANALYSIS_POOL/Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,META_ANALYSIS_POOL,1,,1,1. Edmunds et al. (2025) [A physiological crisis drives the coral recruitmen...],[Exclude],,0,review_fulltext_needed,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds_2010_Effect_of_sub-lethal_damage_to_juvenile_colonies_of_massive..._doi-10.1007-s00227-009-1372-1.pdf,1,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,META_ANALYSIS_POOL,1,1.120,2,5. Edmunds and Lenihan (2010) [Effect of sub-lethal damage to juvenile colonies of massive Porites spp....] || 4. Edmunds and Lenihan (2010) [Effect of sub-lethal damage to juvenile colonies of massive Porites spp...],"[Include in Bins 1, 2] || [Include in Bin 2]",rate|growth,0,include_primary,"[Include in Bins 1, 2] An excellent primary data source providing raw, precise quantitative data for both healing trajectories and whole-colony calcification tradeoffs. || [Include in Bin 2] A highly relevant primary study testing the interactive effects of flow and temperature on growth costs and physiology. However, growth effect sizes will need to be extracted by digitizing the figures, and the categorical healing metrics cannot be used for continuous temporal rate comparisons."
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds_2017_The_effects_of_ocean_acidification_on_wound_repair_in_the_co..._doi-10.1016-j.jembe.2016.10.001.pdf,1,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,META_ANALYSIS_POOL,1,1.096,2,1. Edmunds and Yarid (2017) [The effects of ocean acidification on wound repair in the coral Porites spp.] || 5. Edmunds and Yarid (2017) [The effects of ocean acidification on wound repair in the coral Porites spp.],"[Include in Bins 1, 2]",rate|growth,0,include_primary,"[Include in Bins 1, 2] Robust primary data source providing extractable quantitative means, SE, and sample sizes for both continuous healing trajectories and organismal calcification costs under ocean acidification. || [Include in Bins 1, 2] An excellent, rigorous primary data source providing extractable quantitative outcomes for growth costs and tissue regeneration under varied $pCO_2$ ocean acidification stress."
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Eh_1992_Effects_of_Sedimentation_and_Lesion_Position_on_Coral....pdf,1,literature/META_ANALYSIS_POOL/Meesters et al 1992 sedimentation and lesion position.pdf,Meesters et al 1992 sedimentation and lesion position.pdf,META_ANALYSIS_POOL,1,0.736,2,3. Meesters et al. (1992) [Effects of sedimentation and lesion position on coral tissue regeneration],[Include in Bin 1] || [Exclude],rate,1,include_primary_conflicted,"[Include in Bin 1] A highly relevant paper testing sedimentation and intra-colony photoadaptation, but effect sizes will need to be extracted by digitizing the figures since the provided text is deficient. || [Exclude] The provided text lacks the extractable raw numerical means and variances necessary to quantify continuous regeneration rates. Data would need to be back-calculated or digitized from the unprovided original figures."
348d7203-b68d-472c-89da-e3e6704b2f50,Eh_1995_Age-related_deterioration_of_a_physiological_function_in_the..._doi-10.3354-meps121203.pdf,1,literature/extraction_ready/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,extraction_ready,1,1.131,0,,,,0,review_needed,No audit record yet.
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh_1997_Predicting_regeneration_of_physical_damage_on_a_reef-buildin..._doi-10.3354-meps146091.pdf,1,literature/extraction_ready/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,extraction_ready,1,1.074,0,,,,0,review_needed,No audit record yet.
c6b2ff5b-0225-4b9a-92e7-8dfa6a6debeb,Enochs_2017_Corallivory_in_the_Eastern_Pacific_doi-10.1007-978-94-017-7499-4_10.pdf,1,literature/META_ANALYSIS_POOL/Enochs and Glynn - 2017 - Corallivory in the Eastern Pacific.pdf,Enochs and Glynn - 2017 - Corallivory in the Eastern Pacific.pdf,META_ANALYSIS_POOL,1,1.088,2,2. Enochs and Glynn (2017) [Corallivory in the Eastern Pacific],[Exclude],,0,review_fulltext_needed,"[Exclude] Paper is missing from the data pool and lacks extractable primary outcomes. || [Exclude] The source text is missing from the data pool, preventing any data extraction."
ad751939-b061-4323-9097-c1e7d2e9576f,Fine_2002_Bleaching_effect_on_regeneration_and_resource_translocation..._doi-10.3354-meps234119.pdf,1,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,META_ANALYSIS_POOL,1,1.135,2,3. Fine et al. (2002) [Bleaching effect on regeneration and resource translocation...] || 3. Fine et al. (2002) [Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica],"[Include in Bins 1, 4] || [Exclude]",rate|survival,1,include_primary_conflicted,"[Include in Bins 1, 4] Contains primary macroscopic data for wound recovery under stress, but variance and sample size must be extracted from the figures/tables in the full manuscript, as the text excerpt is deficient. || [Exclude] Primary quantitative parameters essential for meta-analysis (variance and *n*) cannot be extracted from the provided text fragments."
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher_2007_Lesion_regeneration_rates_in_reef-building_corals_Montastra..._doi-10.3354-meps339061.pdf,1,literature/META_ANALYSIS_POOL/Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,META_ANALYSIS_POOL,1,1.084,2,4. Fisher et al. (2007) [Lesion regeneration rates in reef-building corals Montastraea spp....] || 4. Fisher et al. (2007) [Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition],[Include in Bin 1],rate,0,include_primary,"[Include in Bin 1] Highly precise methodology providing raw regression slopes, variance, and sample sizes for temporal healing speeds. || [Include in Bin 1] An excellent, rigorous primary data source providing extractable standardized quantitative outcomes for tissue regeneration with distinct variance and sample sizes directly in the text."
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong_1995_Hurricanes_Cause_Population_Expansion_of_the_Branchin..._doi-10.1111-j.1439-0485.1995.tb00415.x.pdf,1,literature/META_ANALYSIS_POOL/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,META_ANALYSIS_POOL,1,1.075,2,5. Fong and Lirman (1995) [Hurricanes Cause Population Expansion of the Branching Coral...] || 5. Fong and Lirman (1995) [Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia)],"[Include in Bins 1, 4] || [Include in Bins 1, 2]",rate|survival|growth,0,include_primary,"[Include in Bins 1, 4] Contains valuable primary data on the natural survivorship of fragments and natural wound healing, but extraction of continuous healing rates and variances will require digitizing figures from the full paper. || [Include in Bins 1, 2] An important field study tracking natural storm damage recovery; however, exact growth effect sizes and variances will need to be extracted by digitizing the figures, as the provided text is partially deficient in raw numbers."
,,0,literature/EXCLUDED_FINAL/Fox et al. - 2019 - Trophic plasticity in a common reef-building coral.pdf,Fox et al. - 2019 - Trophic plasticity in a common reef-building coral.pdf,EXCLUDED_FINAL,1,,0,,,,0,review_needed,No audit record yet.
