Filename,Status,Reason,Bin1_Rate,Bin2_Growth,Bin3_Repro,Bin4_Survival,Bin5_Mechanism,Bin6_Stressor,Is_Review
Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Enochs and Glynn - 2017 - Corallivory in the Eastern Pacific.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,Y
Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Keep,Primary Data Pool,1,0,0,0,1,0,N
Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Fox et al. - 2019 - Trophic plasticity in a common reef-building coral.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Furby et al. - 2014 - Incidence of lesions on Fungiidae corals in the eastern Red Sea is related to water temperature and.pdf,Keep,Primary Data Pool,0,0,0,1,0,1,N
Gardner et al. - 2019 - Coral microbiome diversity reflects mass coral ble.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Glynn et al. - 2025 - The role of holobiont composition and environmenta.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Guzmán et al. - 1994 - Injury,Keep,Multibin Analysis,0,0,0,0,0,0,N
Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,Keep,Primary Data Pool,1,1,1,0,0,0,N
Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,Keep,Primary Data Pool,1,0,0,0,0,0,N
Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Hamman - 2019 - Spatial distribution of damage affects the healing,Keep,Primary Data Pool,1,1,0,0,0,0,N
Han et al. - 2025 - In-depth single-cell transcriptomic exploration of the regenerative dynamics in stony coral.pdf,Keep,Mechanism Narrative,0,0,0,0,1,0,N
Henry and Hart - 2005 - Regeneration from Injury and Resource Allocation in Sponges and Corals - a Review.pdf,Keep,Primary Data Pool,1,1,1,1,1,1,Y
Honeycutt et al. - 2023 - Farmerfish gardens help buffer stony corals agains.pdf,Exclude,Audit: No Primary Data,0,0,0,0,0,0,N
Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,Keep,Primary Data Pool,1,0,0,0,1,0,N
Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Jayewardene and Birkeland - 2006 - Fish predation on Hawaiian corals.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,N
Jones and Barott - 2025 - Evidence of rare occurrences of the Phoenix effect in the Hawaiian corals Porites compressa a.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,N
Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Kersting and Linares - 2019 - Living evidence of a fossil survival strategy raises hope for warming-affected corals.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Kokita and Nakazono - 2001 - Rapid response of an obligately corallivorous filefish Oxymonacanthus longirostris (Monacanthidae) t.pdf,Keep,Primary Data Pool,0,0,0,1,0,1,N
Kordas et al. - 2011 - Community ecology in a warming world The influence of temperature on interspecific interactions in.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,Keep,Primary Data Pool,1,0,1,0,0,1,N
Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,Keep,Primary Data Pool,1,1,0,0,0,1,N
Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,Keep,Primary Data Pool,0,1,0,1,0,1,N
Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Leuzinger et al. - 2012 - Energy allocation in a reef coral under varying resource availability.pdf,Keep,Primary Data Pool,0,1,0,0,1,0,N
Levanoni - 2021 - Coral Tissue Growth and Regeneration Conjoin the Advent of Adult Stem Cell-Like Cells.pdf,Keep,Primary Data Pool,1,1,0,0,1,0,N
Levanoni et al. - 2024 - Coral Tissue Regeneration and Growth Is Associated with the Presence of Stem-like Cells.pdf,Keep,Primary Data Pool,1,1,0,0,1,0,N
Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth,Keep,Primary Data Pool,0,1,1,1,0,0,N
Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization,Keep,Primary Data Pool,0,1,1,1,0,0,N
Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,Keep,Primary Data Pool,0,1,0,1,0,0,N
Lock - Quantifying physiological responses to physical injury in Porites lobata,Keep,Multibin Analysis,0,0,0,0,0,0,N
Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,Keep,Primary Data Pool,0,1,0,0,1,0,N
Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro‐fragmentation in the scleractinian.pdf,Keep,Primary Data Pool,0,1,0,0,1,0,N
Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Luz et al. - 2018 - A polyp from nothing The extreme regeneration capacity of the Atlantic invasive sun corals Tubastra.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Luz et al. - 2021 - High regenerative capacity is a general feature within colonial dendrophylliid corals (Anthozoa,Keep,Primary Data Pool,1,0,0,1,0,0,N
Madeira et al. - 2022 - Does Predation Exacerbate the Risk of Endosymbiont Loss in Heat Stressed Hermatypic Corals Molecula.pdf,Keep,Primary Data Pool,0,0,0,1,1,1,N
Maher et al. - 2019 - Multiple stressors interact primarily through antagonism to drive changes in the coral microbiome.pdf,Keep,Primary Data Pool,0,0,0,1,1,1,N
Mass et al. - 2016 - Temporal and spatial expression patterns of biomin.pdf,Keep,Mechanism Narrative,0,0,0,0,0,0,N
Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Meesters et al 1992 sedimentation and lesion position.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Meszaros and Bigger - 1999 - Qualitative and Quantitative Study of Wound Healing Processes in the Coelenterate,Keep,Primary Data Pool,1,0,0,0,1,1,N
Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Moses and Hallock - 2015 - Coral Regeneration Assay.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,Keep,Primary Data Pool,1,0,0,0,0,0,N
Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,Keep,Primary Data Pool,0,0,0,1,1,0,N
Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,Keep,Primary Data Pool,1,1,0,0,0,0,N
Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,Keep,Primary Data Pool,1,0,0,0,0,0,N
Oren et al. - 1997 - Oriented intra-colonial transport of 14C labeled materials during coral regeneration.pdf,Keep,Primary Data Pool,1,0,0,0,0,0,N
Oren et al. - 1998 - Prudent sessile feeding by the corallivore snail,Keep,Primary Data Pool,1,1,0,1,0,0,N
Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,Keep,Primary Data Pool,1,0,1,0,0,0,N
Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Palacio-Castro et al. - 2023 - Increased dominance of heat-tolerant symbionts cre.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,Keep,Primary Data Pool,0,1,0,0,0,0,N
Palmer et al. - 2011 - Corals Use Similar Immune Cells and Wound-Healing Processes as Those of Higher Organisms.pdf,Keep,Mechanism Narrative,0,0,0,0,1,0,N
Paradis et al. - 2019 - Compound effects of thermal stress and tissue abrasion on photosynthesis and respiration in the reef.pdf,Keep,Primary Data Pool,0,1,0,0,0,1,N
Pavia Jr and Estacion - 2019 - Survival and Growth of Isolated Polyps of Galaxea fascicularis (Linnaeus 1767) on Six Kinds of Cultu.pdf,Keep,Primary Data Pool,0,1,0,1,0,0,N
Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Pisapia et al. - 2016 - Temporal consistency in background mortality of four dominant coral taxa along Australia’s Great Bar.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Pogoreutz et al. - 2017 - Sugar enrichment provides evidence for a role of n.pdf,Keep,Mechanism Narrative,0,0,0,0,0,0,N
Putnam and Gates - 2015 - Preconditioning in the reef-building coral Pocillo.pdf,Keep,Mechanism Narrative,0,0,0,0,0,0,N
Rapuano et al. - 2023 - Coming of age Annual onset of coral reproduction is determined by age rather than size.pdf,Keep,Primary Data Pool,0,1,1,0,0,0,N
Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,Keep,Primary Data Pool,0,0,0,1,1,0,N
Renegar - 2015 - Histology and ultrastructure of Montastraea cavernosa  and Porites astreoides during regeneration an.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Renegar et al. - Coral Ultrastructural Response to Elevated pCO2 and Nutrients During Tissue Repair and Regeneration.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Rinkevich - 1996 - Do reproduction and regeneration in damaged corals compete for energy allocation.pdf,Keep,Primary Data Pool,1,0,1,0,0,0,N
Rodríguez-Villalobos et al. - 2015 - Explained and unexplained tissue loss in corals fr.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Rodríguez-Villalobos et al. - 2016 - Wound repair in Pocillopora.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Roff et al. - 2014 - Porites and the Phoenix effect unprecedented recovery after a mass coral bleaching event at Rangiro.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,N
Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,Keep,Primary Data Pool,0,0,1,0,0,0,N
Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,Keep,Primary Data Pool,1,0,0,1,0,1,N
Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Samsuri et al. - 2018 - The effectiveness of Trapezia cymodoce in defendin.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Shantz et al. - 2023 - Positive interactions between corals and damselfis.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,Keep,Primary Data Pool,0,0,0,1,1,1,N
Shirur et al. - 2016 - Lesion recovery and the bacterial microbiome in two Caribbean gorgonian corals.pdf,Keep,Primary Data Pool,1,0,0,0,1,0,N
Sogin et al. - 2016 - Metabolomic signatures of increases in temperature.pdf,Keep,Mechanism Narrative,0,0,0,0,0,0,N
Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,Keep,Primary Data Pool,0,0,1,0,0,0,N
Titlyanov and Titlyanova - 2008 - Coral-algal competition on damaged reefs.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,Y
Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,Keep,Primary Data Pool,1,0,0,1,0,0,N
Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,Keep,Primary Data Pool,1,0,0,0,1,0,N
Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,Keep,Primary Data Pool,1,0,0,0,0,1,N
Traylor-Knowles - 2016 - Distinctive wound-healing characteristics in the c.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Traylor-Knowles - 2016 - Distinctive wound-healing characteristics in the corals Pocillopora damicornis and Acropora hyacinth.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Van De Water et al. - 2015 - Elevated seawater temperatures have a limited impact on the coral immune response following physical.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Van De Water et al. - 2015 - The coral immune response facilitates protection against microbes during tissue regeneration.pdf,Keep,Primary Data Pool,1,0,0,0,1,1,N
Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,Keep,Primary Data Pool,1,0,1,0,0,0,N
Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,Keep,Primary Data Pool,1,0,0,0,0,0,N
Wahle - 1983 - Regeneration of injuries among jamaican gorgonians the roles of colony physiology and environment.pdf,Keep,Primary Data Pool,1,0,1,0,0,1,N
Ward - 1995 - The effect of damage on the growth,Keep,Primary Data Pool,0,1,1,1,0,0,N
Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,Keep,Primary Data Pool,0,0,0,1,0,0,N
Work and Aeby - 2010 - Wound repair in Montipora capitata.pdf,Keep,Primary Data Pool,1,0,0,0,1,0,N
Xu et al. - 2023 - Wound healing and regeneration in the reef building coral Acropora millepora.pdf,Keep,Mechanism Narrative,0,0,0,0,1,0,N
Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,Keep,Multibin Analysis,0,0,0,0,0,0,N
