paper_title,source_id,notebook_present,local_present,local_relpath,local_filename,current_folder,final_status,extraction_readiness,alias_of,response_rate,response_growth,response_reproduction,response_survival,response_mechanism,moderator_environment,moderator_traits,hypothesis_traits,hypothesis_environment,hypothesis_wound_type,hypothesis_geometry,hypothesis_integration,adjudication_basis,final_rationale,screening_bucket,candidate_bins,screening_notes
Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,,0,1,literature/EXCLUDED_FINAL/Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Community-structure study unrelated to coral wound responses.,review_needed,,No audit record yet.
Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,,0,1,literature/EXCLUDED_FINAL/Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Sexual-reproduction paper without a damage treatment.,review_needed,,No audit record yet.
"Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",9616c9c9-f92f-4a43-8be4-4bd0b5875f3c,1,1,"literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",META_ANALYSIS_POOL,include_primary,ready_extract,,1,1,0,0,0,1,0,0,1,0,0,0,carry_forward_prior_audit,"[Include in Bins 1, 2] This study successfully isolates the impacts of temperature and symbioses on wound closure and organismal mass, providing clearly reported initial wound sizes, SE, and sample sizes.",include_primary,rate|growth,"[Include in Bins 1, 2] This study successfully isolates the impacts of temperature and symbioses on wound closure and organismal mass, providing clearly reported initial wound sizes, SE, and sample sizes."
Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,daec544d-cfab-46db-be2a-1d3596bc0395,1,1,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,1,0,0,0,1,0,0,1,0,0,0,manual_override,Primary wound-recovery and colony-health paper in Astrangia; retain even though many effect sizes will need extraction from figures.,review_fulltext_needed,rate|growth,"[Exclude] The paper lacks a standardized daily regeneration rate, an un-wounded control group for growth comparisons, and fails to report variance metrics for its proportional healing data in the text."
Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,26babed0-9e6c-4621-9dca-9253eb39b9fb,1,1,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,META_ANALYSIS_POOL,include_primary,ready_extract,,1,1,0,0,0,0,1,1,0,1,0,0,carry_forward_prior_audit,"[Include in Bins 1, 2] Exceptional primary data source that provides raw, extractable quantitative means, SE, and sample sizes for both wound healing trajectories and whole-colony calcification tradeoffs.",include_primary,rate|growth,"[Include in Bins 1, 2] Exceptional primary data source that provides raw, extractable quantitative means, SE, and sample sizes for both wound healing trajectories and whole-colony calcification tradeoffs."
Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,9f7a74ab-485d-44be-88c3-28c6b4a7c491,1,1,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,0,0,1,0,0,0,0,0,1,0,0,manual_override,Primary breakage-regeneration experiment in Fungia granulosa.,review_fulltext_needed,,"[Exclude] Primary quantitative data (means, variance, sample sizes) for the regeneration variables cannot be extracted from the provided text excerpts. || [Exclude] Primary quantitative data cannot be extracted from the provided text fragments."
Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,4e3fb9f0-e78a-40f5-abc2-01412b9ab7fb,1,1,literature/EXCLUDED_FINAL/Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,carry_forward_prior_audit,"[Exclude] Lacks any macroscopic tissue outcomes, methodology, or primary data in the provided text. || [Exclude] Primary text, methods, and quantitative data are missing from the provided excerpts.",exclude_scope,,"[Exclude] Lacks any macroscopic tissue outcomes, methodology, or primary data in the provided text. || [Exclude] Primary text, methods, and quantitative data are missing from the provided excerpts."
Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,d86a557e-5735-4326-9f08-979e13c7ee6d,1,1,literature/EXCLUDED_FINAL/Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,1,0,0,1,1,0,0,carry_forward_prior_audit,[Exclude] The study does not evaluate wound healing or the physiological consequences of physical injury. || [Exclude] Lacks relevant experimental wounding treatments and the raw data cannot be extracted from the provided text fragment.,exclude_scope,,[Exclude] The study does not evaluate wound healing or the physiological consequences of physical injury. || [Exclude] Lacks relevant experimental wounding treatments and the raw data cannot be extracted from the provided text fragment.
Coral-Damsel-Wounding-Manuscript.pdf,d4f87f68-6209-4973-bf99-fac310af5656,1,1,literature/META_ANALYSIS_POOL/Coral-Damsel-Wounding-Manuscript.pdf,Coral-Damsel-Wounding-Manuscript.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,1,0,0,0,0,0,0,0,0,0,0,manual_override,Unpublished/grey-literature manuscript with direct wound-healing and photosynthetic recovery outcomes in Pocillopora.,review_needed,,Vega et al. 2025 (Biology Letters target) PDF rendered 2026-05-21 from Desktop .docx; AS coauthor.
Coral_Regeneration_Review_Annual_Review_Marine_Science_10_31_2025.pdf,deff576c-ed14-48e7-884a-51d6447654a4,1,0,,,,exclude_review,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Annual Review manuscript; narrative synthesis rather than extractable primary data.,review_needed,,No audit record yet.
Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,,0,1,literature/EXCLUDED_FINAL/Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Community-assembly dissertation unrelated to wound responses.,review_needed,,No audit record yet.
Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,,0,1,literature/DUPLICATES/Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,DUPLICATES,duplicate_alias,not_for_extraction,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,0,0,0,0,0,1,1,0,0,0,0,0,manual_override,Truncated local duplicate of the full Counsell et al. 2019 paper.,review_needed,,No audit record yet.
Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,ec19aed9-6875-473a-accb-914b065e6e10,1,1,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,0,0,1,0,1,1,1,1,0,0,0,manual_override,Primary field experiment on Pocillopora meandrina wound healing time and partial mortality; include for healing and survival even though extraction will rely on full-text values/time-to-heal endpoints.,include_primary_conflicted,rate|survival,"[Exclude] The study reports the total time to heal rather than a standardized continuous daily rate, and it fails to report a standard measure of variance (SD/SE/CI) for the healing metric in the text. || [Include in Bins 1, 4] Robust primary field data linking wound recovery time and partial mortality to colony depth and size."
Cox - 2014 - Corallivory The Coral’s Point of View.pdf,740435e0-2577-4691-baa4-77cc09e904e9,1,1,literature/EXCLUDED_FINAL/Cox - 2014 - Corallivory The Coral’s Point of View.pdf,Cox - 2014 - Corallivory The Coral’s Point of View.pdf,EXCLUDED_FINAL,exclude_review,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,full_text_review,Book chapter/review synthesis without original extractable coral wound outcomes; excluded from primary meta-analysis.,exclude_review,,Full-text check found a review/book chapter synthesizing prior corallivory studies without original extractable wound-response data.
Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,034d4e10-aee2-4964-9c77-cb6f4174bd3e,1,1,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,0,0,0,0,0,0,0,1,0,0,0,manual_override,Primary environmental-effects paper on tissue regeneration in Montastraea annularis.,review_needed,,No audit record yet.
Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,bcc5b4a2-3f38-42ed-8309-63964483f263,1,1,literature/EXCLUDED_FINAL/Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Genome paper not tied to physical injury or regeneration measurements.,review_needed,,No audit record yet.
D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,2f44d6fc-1aa4-4747-a000-1c5be042d723,1,1,literature/MECHANISMS_ONLY/D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,MECHANISMS_ONLY,include_mechanism_only,not_for_extraction,,0,0,0,0,1,0,0,0,0,0,0,0,carry_forward_prior_audit,"[Narrative/Mechanism Only] The study lacks extractable quantitative macroscopic data for continuous temporal healing rates or whole-colony growth costs, focusing instead on cellular biomarkers. || [Narrative/Mechanism Only] Excellent mechanistic study documenting the innate immune response and localized accelerated cellular growth (Bin 5), but it lacks the extractable macroscopic tissue regeneration data needed for Bins 1–4.",include_mechanism_only,rate|growth|mechanism,"[Narrative/Mechanism Only] The study lacks extractable quantitative macroscopic data for continuous temporal healing rates or whole-colony growth costs, focusing instead on cellular biomarkers. || [Narrative/Mechanism Only] Excellent mechanistic study documenting the innate immune response and localized accelerated cellular growth (Bin 5), but it lacks the extractable macroscopic tissue regeneration data needed for Bins 1–4."
"Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf",83a15da3-d64e-494a-94ee-a253c2392c96,1,1,"literature/EXCLUDED_FINAL/Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf","Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf",EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,title_keyword_fallback,Title indicates taxonomic or topical mismatch with the wound-response data pool.,review_needed,,No audit record yet.
"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",28b1e816-45f3-42fc-a2b0-0cfea52a0adc,1,1,"literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",META_ANALYSIS_POOL,include_primary,needs_digitization,,1,0,0,0,0,0,0,0,0,0,0,0,manual_override,Primary Astrangia lesion-recovery paper with direct wound-healing outcomes.,review_fulltext_needed,rate,[Exclude] The study does not provide a standardized daily continuous regeneration rate and lacks extractable raw means and variances for macroscopic healing or mortality within the text itself.
Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,09f69156-3ca0-4bf2-98e2-fe2b25612587,1,1,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,META_ANALYSIS_POOL,include_primary,ready_extract,,1,0,0,0,0,0,1,1,0,0,0,0,carry_forward_prior_audit,"[Include in Bin 1] Provides highly standardized, extractable quantitative data on continuous tissue regeneration rates. || [Include in Bin 1] Highly precise primary data source modeling continuous tissue regeneration dynamics under seasonal variations, but effect sizes will need to be digitized from the figures.",include_primary,rate,"[Include in Bin 1] Provides highly standardized, extractable quantitative data on continuous tissue regeneration rates. || [Include in Bin 1] Highly precise primary data source modeling continuous tissue regeneration dynamics under seasonal variations, but effect sizes will need to be digitized from the figures."
Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,1,1,literature/META_ANALYSIS_POOL/Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,Denis et al. - 2013 - Fast Growth May Impair Regeneration Capacity in the Branching Coral Acropora muricata.pdf,META_ANALYSIS_POOL,include_primary,ready_extract,,1,1,0,0,0,0,0,0,0,0,0,0,manual_override,Primary Porites lutea study directly linking growth to regeneration capacity.,review_needed,,No audit record yet.
"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",3d374a40-79d3-413b-99c2-670f9da97bef,1,1,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",META_ANALYSIS_POOL,include_primary,needs_digitization,,1,1,0,1,0,1,0,0,1,1,0,0,manual_override,"Primary fragmentation paper covering mortality, growth, and regeneration under heat stress.",review_fulltext_needed,,"[Exclude] While the study measures the exact variables required for Bins 1, 2, and 4, the provided text excerpts are deficient in raw extractable data (means, variances, and sample sizes), making extraction impossible without access to the paper's figures/raw tables."
"Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf",a1481487-85d7-43d6-9260-5bdb0970ebdd,1,1,"literature/EXCLUDED_FINAL/Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf","Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf",EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,carry_forward_prior_audit,[Exclude] Does not meet the criteria for a wound-regeneration or energetic cost study.,exclude_scope,,[Exclude] Does not meet the criteria for a wound-regeneration or energetic cost study.
Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,,0,1,literature/EXCLUDED_FINAL/Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,1,0,0,1,0,0,0,manual_override,"Physiology under ectosymbiont presence and stress, but not a wound-response paper.",review_fulltext_needed,,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,c849a042-644e-4b4f-a530-33cfb800d9a9,1,1,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,META_ANALYSIS_POOL,include_primary,needs_digitization,,1,1,0,0,0,0,0,0,0,0,0,0,manual_override,Primary fungiid paper on regeneration versus budding trade-offs following damage.,review_needed,,No audit record yet.
Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,,0,1,literature/EXCLUDED_FINAL/Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,1,0,0,1,0,0,0,manual_override,Physiology paper without injury or lesion endpoints.,review_needed,,No audit record yet.
Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,,0,1,literature/EXCLUDED_FINAL/Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,1,1,1,1,0,0,0,manual_override,Performance paper without physical injury or regeneration outcomes.,review_fulltext_needed,,[Exclude] Paper is missing from the data pool. || [Exclude] The source text is missing from the data pool.
Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,,0,1,literature/EXCLUDED_FINAL/Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,0,0,0,0,0,0,0,manual_override,Assemblage-structure paper unrelated to wound healing.,review_needed,,No audit record yet.
Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,,0,1,literature/EXCLUDED_FINAL/Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,EXCLUDED_FINAL,exclude_scope,not_for_extraction,,0,0,0,0,0,1,0,0,1,0,0,0,manual_override,Recruitment/thermal-stress paper rather than post-injury healing or fitness costs of wounding.,review_fulltext_needed,,"[Exclude] The source text is missing from the data pool, preventing any data extraction."
Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,b0949a7c-520e-4a37-af04-25979598ec2d,1,1,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,META_ANALYSIS_POOL,include_primary,ready_extract,,1,1,0,0,1,0,1,1,1,1,0,0,carry_forward_prior_audit,"[Include in Bins 1, 2] An excellent primary data source providing raw, precise quantitative data for both healing trajectories and whole-colony calcification tradeoffs. || [Include in Bin 2] A highly relevant primary study testing the interactive effects of flow and temperature on growth costs and physiology. However, growth effect sizes will need to be extracted by digitizing the figures, and the categorical healing metrics cannot be used for continuous temporal rate comparisons.",include_primary,rate|growth,"[Include in Bins 1, 2] An excellent primary data source providing raw, precise quantitative data for both healing trajectories and whole-colony calcification tradeoffs. || [Include in Bin 2] A highly relevant primary study testing the interactive effects of flow and temperature on growth costs and physiology. However, growth effect sizes will need to be extracted by digitizing the figures, and the categorical healing metrics cannot be used for continuous temporal rate comparisons."
