observation_id,source_id,analysis_ready,qa_status,rate_derivation_basis,observation_type,species,site,treatment,timepoint_or_interval,response_value,response_unit,rate_value,rate_unit,variance_type,variance_value,sample_size,figure_or_table_label,page,evidence_key,calculation_notes
CUR-348d7203-003,348d7203-b68d-472c-89da-e3e6704b2f50,0,extracted_needs_independent_qc,reported_exponential_slope,model_slope,Acropora palmata,Curacao,66 cm from branch tip,30 d,,lesion surface area,0.065,base10 exponential slope d-1,95% CI,0.050-0.085,21,Table 1,4,pdf_page_4_table_1,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
CUR-a1e7fabd-001,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,AR,6 m site,45-154 d,,standardized regeneration rate,23,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,2,,Figure 4,5,pdf_page_5_text,Short-term regeneration rate among 6 m sites.
CUR-a1e7fabd-002,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,WB,6 m site,45-154 d,,standardized regeneration rate,15,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,2,,Figure 4,5,pdf_page_5_text,Short-term regeneration rate among 6 m sites.
CUR-a1e7fabd-003,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,KL 6 m,6 m site,45-154 d,,standardized regeneration rate,7,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,2,,Figure 4,5,pdf_page_5_text,Short-term regeneration rate among 6 m sites.
CUR-a1e7fabd-004,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,BNP,6 m site,45-154 d,,standardized regeneration rate,6,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,2,,Figure 4,5,pdf_page_5_text,Short-term regeneration rate among 6 m sites.
CUR-a1e7fabd-005,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,KL 3 m,depth gradient,45-154 d,,standardized regeneration rate,19,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,3,,Figure 4,6,pdf_page_6_text,Short-term regeneration rate along depth gradient.
CUR-a1e7fabd-006,a1e7fabd-36e1-4556-804c-e6f1a9c17581,0,extracted_needs_independent_qc,reported_proportional_rate,short_term_rate,Montastraea spp.,KL 6 m,depth gradient,45-154 d,,standardized regeneration rate,7,cm d-1 x10^-4 standardized to initial lesion perimeter,SE,2,,Figure 4,6,pdf_page_6_text,Short-term regeneration rate along depth gradient.
CUR-3a3fb59c-001,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,0,extracted_needs_independent_qc,reported_linear_rate,interval_linear_rate,Acropora palmata,Elkhorn Reef,Oct-Dec interval,T1-T2,,linear tissue-front advance,1.59,cm month-1,SE,0.31,6,Table I,7,pdf_page_7_table_1,Overall mean for six natural hurricane-generated lesions.
CUR-3a3fb59c-002,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,0,extracted_needs_independent_qc,reported_linear_rate,interval_linear_rate,Acropora palmata,Elkhorn Reef,Dec-Mar interval,T2-T3,,linear tissue-front advance,0.78,cm month-1,SE,0.21,6,Table I,7,pdf_page_7_table_1,Overall mean for six natural hurricane-generated lesions.
CUR-3a3fb59c-003,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,0,extracted_needs_independent_qc,reported_linear_rate,interval_linear_rate,Acropora palmata,Elkhorn Reef,Oct-Mar interval,T1-T3,,linear tissue-front advance,1.47,cm month-1,SE,0.16,6,Table I,7,pdf_page_7_table_1,Overall mean for six natural hurricane-generated lesions.
CUR-3a3fb59c-004,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,0,extracted_needs_independent_qc,reported_areal_rate,interval_areal_rate,Acropora palmata,Elkhorn Reef,Oct-Mar interval,T1-T3,,area recovered,3.0,cm2 month-1,SE,0.7,6,Table I,7,pdf_page_7_table_1,Overall mean area recovered for six natural hurricane-generated lesions.
CUR-3a3fb59c-005,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_recovered,Acropora palmata,Elkhorn Reef,Oct-Mar interval,T1-T3,31.1,percent area recovered,,percent,SE,6.7,6,Table I,7,pdf_page_7_table_1,Overall mean percent area recovered across six natural hurricane-generated lesions.
CUR-6a14a9e9-001,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,oiled reefs,12 mo,47.0,percent regenerated,,percent,SD,10.8,,Table 6,8,pdf_page_8_table_6,Experiment 1 percent coral regeneration.
CUR-6a14a9e9-002,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,unoiled reefs,12 mo,6.1,percent regenerated,,percent,SD,3.0,,Table 6,8,pdf_page_8_table_6,Experiment 1 percent coral regeneration.
CUR-6a14a9e9-003,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,oiled reefs,22 mo,76.5,percent regenerated,,percent,SD,3.5,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-004,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,unoiled reefs,22 mo,35.2,percent regenerated,,percent,SD,10.1,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-005,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,oiled reefs reciprocal transplant,25 mo,80.5,percent regenerated,,percent,SD,4.4,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-006,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Siderastrea siderea,Panama,unoiled reefs reciprocal transplant,25 mo,35.9,percent regenerated,,percent,SD,5.4,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-007,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,oiled reefs,12 mo,49.1,percent regenerated,,percent,SD,13.0,,Table 6,8,pdf_page_8_table_6,Experiment 1 percent coral regeneration.
CUR-6a14a9e9-008,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,unoiled reefs,12 mo,41.8,percent regenerated,,percent,SD,13.7,,Table 6,8,pdf_page_8_table_6,Experiment 1 percent coral regeneration.
CUR-6a14a9e9-009,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,oiled reefs,22 mo,91.1,percent regenerated,,percent,SD,1.8,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-010,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,unoiled reefs,22 mo,59.2,percent regenerated,,percent,SD,12.8,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-011,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,oiled reefs reciprocal transplant,25 mo,83.9,percent regenerated,,percent,SD,5.0,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-012,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Porites astreoides,Panama,unoiled reefs reciprocal transplant,25 mo,50.2,percent regenerated,,percent,SD,7.5,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-013,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria clivosa,Panama,oiled reefs,22 mo,89.7,percent regenerated,,percent,SD,1.6,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-014,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria clivosa,Panama,unoiled reefs,22 mo,77.6,percent regenerated,,percent,SD,4.9,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-015,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria clivosa,Panama,oiled reefs reciprocal transplant,25 mo,88.7,percent regenerated,,percent,SD,3.5,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-016,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria clivosa,Panama,unoiled reefs reciprocal transplant,25 mo,79.7,percent regenerated,,percent,SD,6.4,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-017,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria strigosa,Panama,oiled reefs,22 mo,79.2,percent regenerated,,percent,SD,4.8,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-018,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria strigosa,Panama,unoiled reefs,22 mo,56.6,percent regenerated,,percent,SD,6.1,,Table 6,8,pdf_page_8_table_6,Experiment 2 percent coral regeneration.
CUR-6a14a9e9-019,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria strigosa,Panama,oiled reefs reciprocal transplant,25 mo,82.5,percent regenerated,,percent,SD,10.0,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-6a14a9e9-020,6a14a9e9-da4e-425f-bf9d-59fa573487e1,0,extracted_needs_independent_qc,initial_final_wound_size,endpoint_percent_regenerated,Diploria strigosa,Panama,unoiled reefs reciprocal transplant,25 mo,81.5,percent regenerated,,percent,SD,9.9,,Table 6,8,pdf_page_8_table_6,Reciprocal transplant percent coral regeneration.
CUR-3764e810-001,3764e810-0eb0-4d34-baca-2c5136c95bc8,0,extracted_needs_independent_qc,reported_linear_rate,closure_rate,Acropora palmata,Florida Reef Tract,small lesions <5 cm2,first 30 d,,linear closure rate,7.3,mm month-1,SE,1.31,20,Figure 3,3,pdf_page_3_text,Mean closure rate first 30 d; extra-large lesions excluded.
CUR-3764e810-002,3764e810-0eb0-4d34-baca-2c5136c95bc8,0,extracted_needs_independent_qc,reported_linear_rate,closure_rate,Acropora palmata,Florida Reef Tract,medium lesions 5-10 cm2,first 30 d,,linear closure rate,4.9,mm month-1,SE,0.4,20,Figure 3,3,pdf_page_3_text,Mean closure rate first 30 d.
CUR-3764e810-003,3764e810-0eb0-4d34-baca-2c5136c95bc8,0,extracted_needs_independent_qc,reported_linear_rate,closure_rate,Acropora palmata,Florida Reef Tract,large lesions 10-20 cm2,first 30 d,,linear closure rate,4.3,mm month-1,SE,0.3,12,Figure 3,3,pdf_page_3_text,Mean closure rate first 30 d.
CUR-6b96575e-001,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Montastrea annularis,Curacao,bleached colonies,first 8 d,,mean tissue regeneration,10.5,mm2 d-1,not_reported,,41,Figure 3,4,pdf_page_4_text,Mean regeneration rate of bleached colonies during first 8 d.
CUR-6b96575e-002,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Montastrea annularis,Curacao,normal colonies,first 8 d,,mean tissue regeneration,13.9,mm2 d-1,not_reported,,26,Figure 3,4,pdf_page_4_text,Mean regeneration rate of normal colonies during first 8 d.
CUR-6b96575e-003,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Porites astreoides,Curacao,bleached Site 1,first 8 d,,mean tissue regeneration,5.4,mm2 d-1,SE,1.5,,Table 1,5,pdf_page_5_table_1,Mean regeneration rate plus SE in Table 1.
CUR-6b96575e-004,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Porites astreoides,Curacao,normal Site 1,first 8 d,,mean tissue regeneration,9.0,mm2 d-1,SE,1.2,,Table 1,5,pdf_page_5_table_1,Mean regeneration rate plus SE in Table 1.
CUR-6b96575e-005,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Porites astreoides,Curacao,bleached in effluent Site 2,first 8 d,,mean tissue regeneration,8.9,mm2 d-1,SE,1.1,,Table 1,5,pdf_page_5_table_1,Mean regeneration rate plus SE in Table 1.
CUR-6b96575e-006,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Porites astreoides,Curacao,normal Site 3,first 8 d,,mean tissue regeneration,12.4,mm2 d-1,SE,0.5,31,Table 1,5,pdf_page_5_table_1,Mean regeneration rate plus SE in Table 1.
CUR-6b96575e-007,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Porites astreoides,Curacao,bleached transplanted Site 3,first 8 d,,mean tissue regeneration,14.3,mm2 d-1,SE,0.7,23,Table 1,5,pdf_page_5_table_1,Mean regeneration rate plus SE in Table 1.
CUR-6b96575e-008,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Meandrina meandrites,Curacao,normal colonies,first 8 d,,mean tissue regeneration,18.7,mm2 d-1,not_reported,,5,Figure 3,4,pdf_page_4_text,Mean rate reported in prose for normal colonies.
CUR-6b96575e-009,6b96575e-9bf7-46f2-a12e-73b565f46629,0,extracted_needs_independent_qc,reported_areal_rate,mean_regeneration_rate,Meandrina meandrites,Curacao,bleached colonies,first 8 d,,mean tissue regeneration,15.4,mm2 d-1,not_reported,,9,Figure 3,4,pdf_page_4_text,Mean rate reported in prose for bleached colonies.
CUR-cf0dfa52-001,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,0,extracted_needs_independent_qc,time_to_closure,endpoint_percent_completely_recovered,Montastrea annularis,Curacao,desalination-power-plant native series DPP,14 wk,64,percent lesions completely recovered,,percent,not_reported,,24,Figure 2,3,pdf_page_3_text,End-of-experiment percentage of lesions completely recovered; DPP measured 14 weeks.
CUR-cf0dfa52-002,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,0,extracted_needs_independent_qc,time_to_closure,endpoint_percent_completely_recovered,Montastrea annularis,Curacao,transplanted AB to DPP series T,12 wk,63,percent lesions completely recovered,,percent,not_reported,,25,Figure 2,3,pdf_page_3_text,End-of-experiment percentage of lesions completely recovered; transplant series measured 12 weeks.
CUR-cf0dfa52-003,cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,0,extracted_needs_independent_qc,time_to_closure,endpoint_percent_completely_recovered,Montastrea annularis,Curacao,Awa Blancu control series AB,14 wk,8,percent lesions completely recovered,,percent,not_reported,,25,Figure 2,3,pdf_page_3_text,End-of-experiment percentage of lesions completely recovered; AB measured 14 weeks.
