source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","Acropora tenuis, Pocillopora damicornis, Stylophora pistillata, Psammocora contigua, Montipora capricornis, Turbinaria reniformis, Echinopora lamellosa, Galaxea fascicularis","branching, plating, encrusting, massive",fragment,"2-4 (branching), 3x3 (plating, encrusting, massive)",experimental,circular injuries inflicted using a Dremel rotatory tool with a cutting disk,tissue and skeleton,7.07,,,,1,middle section of the fragments
c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,"Fungia scutaria, Fungia granulosa, Fungia horrida",solitary,tissue and skeleton fragments,,experimental,broken into wedge-shaped fragments; placement of putty on adult corallum; removal of surface tissues,fragmentation and tissue loss,,,,,,
b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,"Porites spp., Porites lutea, Porites lobata",massive,tissue and skeleton,<4,experimental,gouging with snub nose pliers,tissue and skeleton,68,,,1-2,2,haphazard locations
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,"Porites spp., Porites lutea, Porites lobata",massive,perforate,~4,experimental,snub-nose pliers to scrape a rectangular lesion,tissue and skeleton,"99, 250","~4%, ~10%",,"1-2, 5-6",1,upper surface
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Meesters et al 1992 sedimentation and lesion position.pdf,literature/META_ANALYSIS_POOL/Meesters et al 1992 sedimentation and lesion position.pdf,"Acropora palmata, Diploria strigosa, Porites astreoides, Siderastrea siderea, Montastrea annularis","branching, massive",perforate,,experimental,submersible drill with a small grinding point,tissue and skeleton,78,,,2,1,"top of the colony, sides of colonies, in between two ridges"
348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,literature/META_ANALYSIS_POOL/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,Acropora palmata,branching,perforate,,experimental,submersible pneumatic drill powered by a SCUBA tank and equipped with a small grinding point,tissue and skeleton,159.4,,,1.90,1,"upperside of branches at 3, 12, or 66 cm from the tip"
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,Montastrea annularis,columnar,imperforate,,experimental,small grinding stones attached to a pneumatic drill powered by a SCUBA tank,tissue and skeleton,"83, 183, 243, 406",,,2.5,4,column
ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,Oculina patagonica,encrusting,tissue,12-15,experimental,air-pick jet,tissue,200,,,,1,center of colony or center of bleached section
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,literature/META_ANALYSIS_POOL/Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,"Montastraea spp., Montastraea faveolata, Montastraea annularis, Montastraea franksi",boulder,imperforate,19-40,experimental,leather punch,tissue and skeleton,100-200,,,3,,
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,literature/META_ANALYSIS_POOL/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,Acropora palmata,branching,branch,,natural,hurricane-generated broken branches,tissue and skeleton,,,,,5-8 per colony,branch ends
6a14a9e9-da4e-425f-bf9d-59fa573487e1,"Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf","literature/META_ANALYSIS_POOL/Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf","Siderastrea siderea, Porites astreoides, Diploria clivosa, Diploria strigosa",massive,"perforate, imperforate",<30,"experimental, oil spill",blasting,artificial injury,570,,,,1,
e2191f69-a271-4c74-be4c-ebe977248362,Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,literature/META_ANALYSIS_POOL/Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,"Goniastrea retiformis, Acropora hyacinthus, Acropora robusta, Acropora palifera, Acropora gemmifera, Acropora millepora, Acropora cytherea, Porites lichen, Porites mayeri, Porites australiensis, Pocillopora damicornis","arborescent, tabular, submassive, bushy, massive, corymbose, digitate","perforate, imperforate",18-68,experimental,"compressed air from an air gun, hammer and chisel","tissue loss, scraping (tissue and skeleton), branch removal",400,<25% of total surface area,,2,2,"center and edge of colony, base and tips of branches and columns"
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,"Acropora hyacinthus, Montipora tuberculosa","tabular, foliaceous",perforate,>75,experimental,"blowing tissue away with compressed air, dragging a fine chisel, chiselling away a small section","tissue mortality, scraping, breakage",330,,,1-2,,edge of colonies
