_source_file,source_id,paper_title,local_relpath,response_type,qa_status,figure_or_table_label,page,panel_label,Author,Year,Species,Wound_Area_mm2,Rate_Value,Rate_Unit,Variance_Type,Variance_Value,Sample_Size,Location,Stressor,Notes,Outcome_Type,Control_Mean,Control_Var,Wounded_Mean,Wounded_Var,Var_Type,Control_Total,Control_Dead,Wounded_Total,Wounded_Dead,Duration_Days
EXTRACTION_FITNESS.csv,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,needs_source_provenance_review,,,,Van Veghel,1994,Montastraea annularis (Bumpy),,,,,,225,,Natural/Regenerating Lesion,Control sampled >20cm away,Eggs/Polyp,69.9,46,35.0,40,SD,,,,,
EXTRACTION_FITNESS.csv,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,needs_source_provenance_review,,,,Van Veghel,1994,Montastraea annularis (Massive),,,,,,261,,Natural/Regenerating Lesion,Significant reduction in fecundity,Eggs/Polyp,29.2,37,7.6,15,SD,,,,,
EXTRACTION_FITNESS.csv,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",reproduction,needs_source_provenance_review,,,,Ward,1995,Pocillopora damicornis,,,,,,36,,Experimental Fragmentation,Counter-intuitive increase in fecundity,Reproductive Potential (IRP),43.94,4.57,59.58,4.55,SE,,,,,
EXTRACTION_FITNESS.csv,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,reproduction,needs_source_provenance_review,,,,Soong,1992,Siderastrea radians,,,,,,29,,Experimental Artificial Margin,Paired comparison within colony,Eggs/20 mesenteries,13.0,0,6.0,0,None,,,,,
EXTRACTION_FITNESS.csv,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",reproduction,needs_source_provenance_review,,,,Lirman,2000,Acropora palmata,,,,,,10,,Natural Hurricane Damage,Comparison of undamaged vs damaged colonies,% Colonies with Gametes,80,0,0,0,None,,,,,
EXTRACTION_FITNESS.csv,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,reproduction,needs_source_provenance_review,,,,Rotjan,2009,Montastraea annularis,,,,,,24,,Parrotfish Grazing,Sampled adjacent to scars,Egg Area (mm2),0.055,0.005,0.049,0.006,SE,,,,,
EXTRACTION_FITNESS.csv,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,needs_source_provenance_review,,,,Cameron,2014,Porites spp. (massive),,,,,,8,,Excavated Damage,Significant growth reduction,Growth (mg cm-2 d-1),2.83,0.15,1.72,0.12,SE,,,,,
EXTRACTION_FITNESS.csv,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,growth,needs_source_provenance_review,,,,Cameron,2014,Pocillopora meandrina,,,,,,8,,Excavated Damage,54% reduction in growth,Growth (mg cm-2 d-1),2.15,0.09,0.99,0.08,SE,,,,,
EXTRACTION_FITNESS.csv,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,needs_source_provenance_review,,,,Edmunds,2010,Porites spp. (massive),,,,,,10,,Wounding (26.7C),Compensatory growth observed,Growth (mg cm-2 d-1),1.39,0.2,1.74,0.2,SE,,,,,
EXTRACTION_FITNESS.csv,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,growth,needs_source_provenance_review,,,,Edmunds,2010,Porites spp. (massive),,,,,,10,,Wounding (29.6C),Growth inhibition at high temp,Growth (mg cm-2 d-1),1.58,0.2,1.18,0.2,SE,,,,,
EXTRACTION_FITNESS.csv,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,growth,needs_source_provenance_review,,,,Edmunds,2017,Porites spp. (massive),,,,,,20,,Acidification (pH 7.6),No significant wounding effect,Calcification (mg cm-2 d-1),0.79,0.08,0.6,0.05,SE,,,,,
EXTRACTION_FITNESS.csv,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,growth,needs_source_provenance_review,,,,Meesters,1994,Montastraea annularis,,,,,,20,,Experimental Lesion,Immediate calcification decrease,Calcification (mg cm-2 d-1),2.19,0.05,1.49,0.1,SE,,,,,
EXTRACTION_FITNESS.csv,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,needs_source_provenance_review,,,,Lirman,2010,Acropora cervicornis,,,,,,30,,Fragmentation,Short-term growth slowdown,Linear Growth (cm d-1),0.04,0.01,0.015,0.01,SD,,,,,
EXTRACTION_SURVIVAL.csv,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,needs_source_provenance_review,,,,Ward,1995,Pocillopora damicornis,,,,,,,,Experimental Fragmentation,58% mortality in fragments,,,,,,,14,1,24,14,395
EXTRACTION_SURVIVAL.csv,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,needs_source_provenance_review,,,,Ward,1995,Pocillopora damicornis,,,,,,,,Experimental Dislodgement,60% mortality in dislodged corals,,,,,,,14,1,33,20,395
EXTRACTION_SURVIVAL.csv,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,needs_source_provenance_review,,,,Rice,2021,Porites spp. (massive),,,,,,,,Snail Predation,31% mortality with snails,,,,,,,11,1,11,3,42
EXTRACTION_SURVIVAL.csv,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,needs_source_provenance_review,,,,Rice,2021,Porites spp. (massive),,,,,,,,Sediment + Snail,Sediment did not further increase mortality,,,,,,,11,3,11,3,42
EXTRACTION_SURVIVAL.csv,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",survival,needs_source_provenance_review,,,,Lirman,2000,Acropora palmata,,,,,,,,Storm Fragmentation,40% tissue mortality in transplants,,,,,,,25,0,25,10,1460
EXTRACTION_SURVIVAL.csv,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,needs_source_provenance_review,,,,Bak & Criens,1981,Acropora cervicornis,,,,,,,,Disease following damage,Survival negatively impacted by post-wound disease,,,,,,,0,0,0,0,0
