source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,literature/META_ANALYSIS_POOL/Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,Stylophora pistillata,branched,colony,geometric mean radius (r) <1.00 to 4.00,experimental,breaking branches with a diver's knife,breakage,,14-29% decrease in r,,,,
6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,literature/META_ANALYSIS_POOL/Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,"Montastrea annularis, Porites astreoides, Meandrina meandrites","hemispherical, massive",colony,12-80,experimental,artificial lesions,tissue,"130, 160",,,,,"in between the collines, on top of a polyp mouth, and approximately in the middle of the colony"
c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,Montastrea annularis,columnar,core,,experimental,cylindrical grinding stone,tissue and skeleton,170,8.8%,,2.16 mm,1,
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,"Acropora palmata, Diploria strigosa, Porites astreoides","branching, massive","colony, branch",up to 100,natural,bottom associated and non-bottom associated processes,tissue,10->10000,<0.1%,,,,"completely surrounded by living tissue (type I), edge of living tissue (type II), upperside and underside of branches"
f46ad039-b2d6-4a0a-860d-98cf61f2a7de,Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,literature/META_ANALYSIS_POOL/Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,"Porites divaracata, Porites porites",branching,fragment,,natural,fish bites,partial and total predation,,"one-quarter, one-half, three-quarters, or completely eaten",,,,"base, whole branches"
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,Acropora pulchra,branching,fragment,,experimental,"tapered micro spatula tool, Gryphon Diamond Blade Saw","abrasion, fragmentation","22, 95",,,,1,branch tip
8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,literature/META_ANALYSIS_POOL/Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,"Porites astreoides, Stephanocoenia michelinii, Madracis decactis, Madracis pharensis luciphila, Madracis senaria","encrusting, massive",colony,,experimental,hand-held drill equipped with a 2 mm steel bit,tissue and skeleton,13.7-16.1,,,2 mm,1,top of each colony
b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,literature/META_ANALYSIS_POOL/Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,"Porites astreoides, Stephanocoenia michelinii",massive,colony,,experimental,small grinding stone attached to a pneumatic drill,tissue and skeleton,"200, 220",,,2-3 mm,1,top of the colony
9f560a14-a39a-4d71-8d68-9c14a4001c75,Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,literature/META_ANALYSIS_POOL/Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,Acropora muricata,staghorn,nubbin,>100,experimental,sterilised scalpel blade (injury control); Drupella sp. and Chaetodon plebeius feeding,tissue,5000,,,"tissue removed, skeleton minimally damaged",,
d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,literature/META_ANALYSIS_POOL/Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,Acropora muricata,branching,fragment,"5, 10, 20",experimental,wire cutters,fragmentation,78.5,,,,2,upper and lower cut surfaces
84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,Favia favus,colonial,colony,45,experimental,air-pick,tissue,,,95-165,,,upper surface
