source_id,paper_title,local_relpath,species,growth_form,tissue_type,colony_size_cm,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position
2059b598-335f-4890-8512-6e1f86fed557,Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,literature/META_ANALYSIS_POOL/Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,"Balanophyllia europaea, Leptopsammia pruvoti, Astroides calycularis","solitary, colonial","polyp, nubbin",2-4 polyps,experimental,metal bristle brush,tissue,,,,exposing the axial skeleton,1,side/upper side
9d6998fc-caf1-4dbd-883f-ad9b9184d062,Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,literature/META_ANALYSIS_POOL/Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,Acropora cervicornis,branching,fragment,10,experimental,Coralliophila abbreviata snail feeding,tissue,384-560,~30%,,bare coral skeleton,,base of coral
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,"Acropora cervicornis, Acropora palmata, Diploria clivosa, Diploria strigosa, Favia fragum, Montastrea cavernosa, Porites astreoides, Porites furcata, Siderastrea radians, Siderastrea siderea","massive, encrusting, branching",colony,3.5-70,experimental,hacksaw,tissue and skeleton,570,,,1 cm,1,across the entire mid-region
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,"Porites cylindrica, Porites lutea","branched, massive",fragment,,experimental,"Water-Pik, chisel, hand-saw or pincers and file, fresh water osmotic shock, cement","tissue and skeleton, tissue",,<= 10%,,1-2 mm,1,"middle part, top to bottom"
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,literature/META_ANALYSIS_POOL/Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,"Porites lutea, Porites cylindrica","massive, branching","fragment, colony",,experimental,"Water-Pik, chisel, pincers, hand-saw, fresh water osmotic shock, cement","tissue and skeleton, tissue",,<=10%,,1-2 mm,1,"middle part, upper, lateral, basal"
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,literature/META_ANALYSIS_POOL/Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,Porites lutea,massive,fragment,,experimental,hand saw,tissue and skeleton,2500,,,,1,upper parts
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,"Orbicella franksi, Agaricia lamarcki","massive boulder, sheeting scroll",colony,>10,experimental,small chisel or flathead screwdriver,tissue,158-700,,,,1,center of the colony facing directly upwards
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,Montastrea annularis,"bumpy, massive, columnar",colony,,experimental,submersible drill,tissue and skeleton,160,,,4 mm,1,upper surface
26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,literature/META_ANALYSIS_POOL/Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,"Porites lutea, Porites lobata",massive,colony,70-100,experimental,,tissue,15-1310,,,,3,15 to 40 degrees to the horizontal plane
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",Pocillopora damicornis,branching,colony,30-50,experimental,"hammer, knocked from reef",tissue and skeleton,,50%,,,,throughout the colony
32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,Porites spp.,massive,colony,"440.9 to 8,386.7 cm2 surface area",natural,Chlorurus microrhinos feeding,tissue and skeleton,418-619,< 23.1%,,0.2-1.8 mm,1 to >3,relatively planar surface
d48f4420-bee1-4bd3-95e6-7f646095131b,Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,literature/META_ANALYSIS_POOL/Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,Porites spp.,massive,colony,1135 cm2 surface area,natural,,tissue,,15%,,,1.7 per dm2,
1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,"Montastraea faveolata, Montastraea cavernosa, Siderastrea siderea, Colpophyllia natans, Diploria strigosa, Montastraea annularis",massive,"colony, fragment",~300 cm2,experimental,Halimeda opuntia overgrowth and Hermodice carunculata or Coralliophila abbreviata corallivory,tissue,9000,,,,,
9cbae935-6259-4ba6-a2ec-44d3f3bc0902,Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,literature/META_ANALYSIS_POOL/Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,Acropora pulchra,branching,branch,,experimental,broken off,tissue and skeleton,,,,,,
