source_table,data_file,csv_line,source_id,author,year,species,response_type,plot_status,raw_value_summary,qa_status,notes
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong,1992,Siderastrea radians,reproduction,plotted_control_wounded_means,Outcome_Type=Eggs/20 mesenteries; Control_Mean=13.0; Wounded_Mean=6.0; Sample_Size=29,needs_source_provenance_review,Paired comparison within colony
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,reproduction,plotted_control_wounded_means,Outcome_Type=% Colonies with Gametes; Control_Mean=80; Wounded_Mean=0; Sample_Size=10,needs_source_provenance_review,Comparison of undamaged vs damaged colonies
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan,2009,Montastraea annularis,reproduction,plotted_control_wounded_means,Outcome_Type=Egg Area (mm2); Control_Mean=0.055; Wounded_Mean=0.049; Sample_Size=24,needs_source_provenance_review,Sampled adjacent to scars
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Porites spp. (massive),growth,plotted_control_wounded_means,Outcome_Type=Growth (mg cm-2 d-1); Control_Mean=2.83; Wounded_Mean=1.72; Sample_Size=8,needs_source_provenance_review,Significant growth reduction
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Pocillopora meandrina,growth,plotted_control_wounded_means,Outcome_Type=Growth (mg cm-2 d-1); Control_Mean=2.15; Wounded_Mean=0.99; Sample_Size=8,needs_source_provenance_review,54% reduction in growth
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,plotted_control_wounded_means,Outcome_Type=Growth (mg cm-2 d-1); Control_Mean=1.39; Wounded_Mean=1.74; Sample_Size=10,needs_source_provenance_review,Compensatory growth observed
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,plotted_control_wounded_means,Outcome_Type=Growth (mg cm-2 d-1); Control_Mean=1.58; Wounded_Mean=1.18; Sample_Size=10,needs_source_provenance_review,Growth inhibition at high temp
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds,2017,Porites spp. (massive),growth,plotted_control_wounded_means,Outcome_Type=Calcification (mg cm-2 d-1); Control_Mean=0.79; Wounded_Mean=0.6; Sample_Size=20,needs_source_provenance_review,No significant wounding effect
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters,1994,Montastraea annularis,growth,plotted_control_wounded_means,Outcome_Type=Calcification (mg cm-2 d-1); Control_Mean=2.19; Wounded_Mean=1.49; Sample_Size=20,needs_source_provenance_review,Immediate calcification decrease
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman,2010,Acropora cervicornis,growth,plotted_control_wounded_means,Outcome_Type=Linear Growth (cm d-1); Control_Mean=0.04; Wounded_Mean=0.015; Sample_Size=30,needs_source_provenance_review,Short-term growth slowdown
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,plotted_mortality_proportions,Control_Dead/Total=1/14; Wounded_Dead/Total=14/24; Duration_Days=395,needs_source_provenance_review,58% mortality in fragments
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,plotted_mortality_proportions,Control_Dead/Total=1/14; Wounded_Dead/Total=20/33; Duration_Days=395,needs_source_provenance_review,60% mortality in dislodged corals
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,plotted_mortality_proportions,Control_Dead/Total=1/11; Wounded_Dead/Total=3/11; Duration_Days=42,needs_source_provenance_review,31% mortality with snails
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,plotted_mortality_proportions,Control_Dead/Total=3/11; Wounded_Dead/Total=3/11; Duration_Days=42,needs_source_provenance_review,Sediment did not further increase mortality
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,survival,plotted_mortality_proportions,Control_Dead/Total=0/25; Wounded_Dead/Total=10/25; Duration_Days=1460,needs_source_provenance_review,40% tissue mortality in transplants
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,7,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak & Criens,1981,Acropora cervicornis,survival,not_plotted_zero_or_missing_total,Control_Dead/Total=0/0; Wounded_Dead/Total=0/0; Duration_Days=0,needs_source_provenance_review,Survival negatively impacted by post-wound disease
