source_table,data_file,csv_line,source_id,author,year,species,response_type,plot_panel,condition,value,value_unit,variance_type,variance_value,sample_size,row_label,qa_status,notes
EXTRACTION_RATES.csv,data/extraction/EXTRACTION_RATES.csv,2,dde85c3e-6c0d-4057-9a5a-116138865992,Bak,1983,Acropora palmata,rate,A_rate,reported,-0.048,Exponential Slope (k),None,0,32,Bak 1983 | Acropora palmata | Exponential Slope (k),needs_source_provenance_review,Standard 1cm2 lesion
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong,1992,Siderastrea radians,reproduction,C_reproduction,wounded,6.0,Eggs/20 mesenteries,None,0,29,Soong 1992 | Siderastrea radians | Eggs/20 mesenteries,needs_source_provenance_review,Paired comparison within colony
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,reproduction,C_reproduction,control,80.0,% Colonies with Gametes,None,0,10,Lirman 2000 | Acropora palmata | % Colonies with Gametes,needs_source_provenance_review,Comparison of undamaged vs damaged colonies
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,reproduction,C_reproduction,wounded,0.0,% Colonies with Gametes,None,0,10,Lirman 2000 | Acropora palmata | % Colonies with Gametes,needs_source_provenance_review,Comparison of undamaged vs damaged colonies
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan,2009,Montastraea annularis,reproduction,C_reproduction,control,0.055,Egg Area (mm2),SE,0.005,24,Rotjan 2009 | Montastraea annularis | Egg Area (mm2),needs_source_provenance_review,Sampled adjacent to scars
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan,2009,Montastraea annularis,reproduction,C_reproduction,wounded,0.049,Egg Area (mm2),SE,0.006,24,Rotjan 2009 | Montastraea annularis | Egg Area (mm2),needs_source_provenance_review,Sampled adjacent to scars
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Porites spp. (massive),growth,B_growth,control,2.83,Growth (mg cm-2 d-1),SE,0.15,8,Cameron 2014 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Significant growth reduction
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Porites spp. (massive),growth,B_growth,wounded,1.72,Growth (mg cm-2 d-1),SE,0.12,8,Cameron 2014 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Significant growth reduction
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Pocillopora meandrina,growth,B_growth,control,2.15,Growth (mg cm-2 d-1),SE,0.09,8,Cameron 2014 | Pocillopora meandrina | Growth (mg cm-2...,needs_source_provenance_review,54% reduction in growth
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron,2014,Pocillopora meandrina,growth,B_growth,wounded,0.99,Growth (mg cm-2 d-1),SE,0.08,8,Cameron 2014 | Pocillopora meandrina | Growth (mg cm-2...,needs_source_provenance_review,54% reduction in growth
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,B_growth,control,1.39,Growth (mg cm-2 d-1),SE,0.2,10,Edmunds 2010 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Compensatory growth observed
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,B_growth,wounded,1.74,Growth (mg cm-2 d-1),SE,0.2,10,Edmunds 2010 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Compensatory growth observed
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,B_growth,control,1.58,Growth (mg cm-2 d-1),SE,0.2,10,Edmunds 2010 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Growth inhibition at high temp
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds,2010,Porites spp. (massive),growth,B_growth,wounded,1.18,Growth (mg cm-2 d-1),SE,0.2,10,Edmunds 2010 | Porites spp. (massive) | Growth (mg cm-2...,needs_source_provenance_review,Growth inhibition at high temp
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds,2017,Porites spp. (massive),growth,B_growth,control,0.79,Calcification (mg cm-2 d-1),SE,0.08,20,Edmunds 2017 | Porites spp. (massive) | Calcification...,needs_source_provenance_review,No significant wounding effect
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds,2017,Porites spp. (massive),growth,B_growth,wounded,0.6,Calcification (mg cm-2 d-1),SE,0.05,20,Edmunds 2017 | Porites spp. (massive) | Calcification...,needs_source_provenance_review,No significant wounding effect
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters,1994,Montastraea annularis,growth,B_growth,control,2.19,Calcification (mg cm-2 d-1),SE,0.05,20,Meesters 1994 | Montastraea annularis | Calcification...,needs_source_provenance_review,Immediate calcification decrease
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters,1994,Montastraea annularis,growth,B_growth,wounded,1.49,Calcification (mg cm-2 d-1),SE,0.1,20,Meesters 1994 | Montastraea annularis | Calcification...,needs_source_provenance_review,Immediate calcification decrease
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman,2010,Acropora cervicornis,growth,B_growth,control,0.04,Linear Growth (cm d-1),SD,0.01,30,Lirman 2010 | Acropora cervicornis | Linear Growth (cm...,needs_source_provenance_review,Short-term growth slowdown
EXTRACTION_FITNESS.csv,data/extraction/EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman,2010,Acropora cervicornis,growth,B_growth,wounded,0.015,Linear Growth (cm d-1),SD,0.01,30,Lirman 2010 | Acropora cervicornis | Linear Growth (cm...,needs_source_provenance_review,Short-term growth slowdown
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,D_survival,control,7.142857142857142,% dead from raw dead/total,raw_counts,1/14,14,Ward 1995 | Pocillopora damicornis | Experimental...,needs_source_provenance_review,58% mortality in fragments
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,D_survival,wounded,58.333333333333336,% dead from raw dead/total,raw_counts,14/24,24,Ward 1995 | Pocillopora damicornis | Experimental...,needs_source_provenance_review,58% mortality in fragments
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,D_survival,control,7.142857142857142,% dead from raw dead/total,raw_counts,1/14,14,Ward 1995 | Pocillopora damicornis | Experimental...,needs_source_provenance_review,60% mortality in dislodged corals
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,Ward,1995,Pocillopora damicornis,survival,D_survival,wounded,60.60606060606061,% dead from raw dead/total,raw_counts,20/33,33,Ward 1995 | Pocillopora damicornis | Experimental...,needs_source_provenance_review,60% mortality in dislodged corals
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,D_survival,control,9.090909090909092,% dead from raw dead/total,raw_counts,1/11,11,Rice 2021 | Porites spp. (massive) | Snail Predation,needs_source_provenance_review,31% mortality with snails
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,D_survival,wounded,27.27272727272727,% dead from raw dead/total,raw_counts,3/11,11,Rice 2021 | Porites spp. (massive) | Snail Predation,needs_source_provenance_review,31% mortality with snails
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,D_survival,control,27.27272727272727,% dead from raw dead/total,raw_counts,3/11,11,Rice 2021 | Porites spp. (massive) | Sediment + Snail,needs_source_provenance_review,Sediment did not further increase mortality
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice,2021,Porites spp. (massive),survival,D_survival,wounded,27.27272727272727,% dead from raw dead/total,raw_counts,3/11,11,Rice 2021 | Porites spp. (massive) | Sediment + Snail,needs_source_provenance_review,Sediment did not further increase mortality
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,survival,D_survival,control,0.0,% dead from raw dead/total,raw_counts,0/25,25,Lirman 2000 | Acropora palmata | Storm Fragmentation,needs_source_provenance_review,40% tissue mortality in transplants
EXTRACTION_SURVIVAL.csv,data/extraction/EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,Lirman,2000,Acropora palmata,survival,D_survival,wounded,40.0,% dead from raw dead/total,raw_counts,10/25,25,Lirman 2000 | Acropora palmata | Storm Fragmentation,needs_source_provenance_review,40% tissue mortality in transplants
