deleted_flat_relpath,organized_relpath,filename_match_count,tracked_blob_sha,organized_blob_sha,hash_status
literature/Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,literature/EXCLUDED_FINAL/Brush - 2025 - Assemblage structure of fishes and invertebrates i.pdf,1,3e70c3eeb920ec212b5471c3403152e172717523,3e70c3eeb920ec212b5471c3403152e172717523,hash_match
literature/Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,literature/EXCLUDED_FINAL/Buck-Wiese et al. - 2018 - Patterns in sexual reproduction of the dominant sc.pdf,1,2a92dc2124ff014fde1dfbb975942ca10aa83d5f,2a92dc2124ff014fde1dfbb975942ca10aa83d5f,hash_match
"literature/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf","literature/META_ANALYSIS_POOL/Burmester et al. - 2017 - Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic.pdf",1,f0fbb9f0f2a2827ebda57bb10515495697739ea9,f0fbb9f0f2a2827ebda57bb10515495697739ea9,hash_match
literature/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,literature/META_ANALYSIS_POOL/Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,1,165bf9c24faf042620bbdcb13fd285e144132e88,165bf9c24faf042620bbdcb13fd285e144132e88,hash_match
literature/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,1,2e6a3e225d93bff4c6e078565ed6ff4e97919e6e,2e6a3e225d93bff4c6e078565ed6ff4e97919e6e,hash_match
literature/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,literature/META_ANALYSIS_POOL/Chadwick and Loya - 1990 - Regeneration after experimental breakage in the solitary reef coral Fungia granulosa Klunzing.pdf,1,5e3b0bc36bd3ef01f80df9e10efd9d114a7fd3d0,5e3b0bc36bd3ef01f80df9e10efd9d114a7fd3d0,hash_match
literature/Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,literature/EXCLUDED_FINAL/Chong-Seng et al. - 2011 - Selective feeding by coral reef fishes on coral lesions associated with brown band and black band di.pdf,1,3a2d5a112a7d5aa78b86756d22a12d5060f19adf,3a2d5a112a7d5aa78b86756d22a12d5060f19adf,hash_match
literature/Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,literature/EXCLUDED_FINAL/Comeau et al. - 2014 - Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolit.pdf,1,4c240df8bf6a550b2a0e17d1dc98cd28c54a8f43,4c240df8bf6a550b2a0e17d1dc98cd28c54a8f43,hash_match
literature/Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,literature/EXCLUDED_FINAL/Counsell - 2018 - Assembly Dynamics for a Coral-Associated Reef Comm.pdf,1,7bd36e8919799995bf9f3557347b932cda1e0f60,7bd36e8919799995bf9f3557347b932cda1e0f60,hash_match
literature/Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,literature/DUPLICATES/Counsell et al. - 2019 - Colony size and depth affect wound repair in a bra.pdf,1,8f891a89cbf6f38bd6de354099daa2f66985a43f,8f891a89cbf6f38bd6de354099daa2f66985a43f,hash_match
literature/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,literature/META_ANALYSIS_POOL/Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,1,8f891a89cbf6f38bd6de354099daa2f66985a43f,8f891a89cbf6f38bd6de354099daa2f66985a43f,hash_match
literature/Cox - 2014 - Corallivory The Coral’s Point of View.pdf,literature/EXCLUDED_FINAL/Cox - 2014 - Corallivory The Coral’s Point of View.pdf,1,1dedc5cbf00f97fca8ecf075d1460fb3106eb5a5,1dedc5cbf00f97fca8ecf075d1460fb3106eb5a5,hash_match
literature/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,literature/META_ANALYSIS_POOL/Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,1,891d148b78c3aede21f2134586f36878a661fa27,891d148b78c3aede21f2134586f36878a661fa27,hash_match
literature/Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,literature/EXCLUDED_FINAL/Cunning et al. - 2018 - Comparative analysis of the Pocillopora damicornis genome highlights role of immune system in coral.pdf,1,e5c936bd208e9fa8b08827bf6fad2f53aeafc47b,e5c936bd208e9fa8b08827bf6fad2f53aeafc47b,hash_match
"literature/Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf","literature/EXCLUDED_FINAL/Da Silveira and Van’T Hof - 1977 - Regeneration in the Gorgonian Plexura Flexuosa (Cnidaria, Octocorallia).pdf",1,8eed49c0db6fde5203f1d181e701a3bae0823864,8eed49c0db6fde5203f1d181e701a3bae0823864,hash_match
"literature/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",1,300a4b4b8d07644eae8b04bc003b0460e897d9a0,300a4b4b8d07644eae8b04bc003b0460e897d9a0,hash_match
literature/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,literature/META_ANALYSIS_POOL/Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,1,6ec880ee52d517f3ef5ab0ee38ec18028ccd7473,6ec880ee52d517f3ef5ab0ee38ec18028ccd7473,hash_match
"literature/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf","literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",1,269876c98de32a715acd92af0d2d587e3af5a1a6,269876c98de32a715acd92af0d2d587e3af5a1a6,hash_match
"literature/Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf","literature/EXCLUDED_FINAL/Diaz-Pulido et al. - 2009 - Doom and Boom on a Resilient Reef Climate Change, Algal Overgrowth and Coral Recovery.pdf",1,d10fd8ca569ff99d3dac328b6df1240b87163836,d10fd8ca569ff99d3dac328b6df1240b87163836,hash_match
literature/Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,literature/EXCLUDED_FINAL/Doo et al. - 2018 - Obligate ectosymbionts increase the physiological .pdf,1,b77f8c64a5c6c352cda3512bd66676b9ad6bdc87,b77f8c64a5c6c352cda3512bd66676b9ad6bdc87,hash_match
literature/D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,literature/MECHANISMS_ONLY/D’Angelo et al. - 2012 - Locally accelerated growth is part of the innate immune response and repair mechanisms in reef-build.pdf,1,8cd50e6f6e27afc6136d88b82a8bae51ae9e085b,8cd50e6f6e27afc6136d88b82a8bae51ae9e085b,hash_match
literature/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,literature/META_ANALYSIS_POOL/E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,1,5a568a9e85ab192dfa5e3faf9f52fb6c4ba66565,5a568a9e85ab192dfa5e3faf9f52fb6c4ba66565,hash_match
literature/Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,literature/EXCLUDED_FINAL/Edmunds and Burgess - 2016 - Size-dependent physiological responses of the bran.pdf,1,a40c37991804cbdb9f36417dacf040b17365f58a,a40c37991804cbdb9f36417dacf040b17365f58a,hash_match
literature/Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,literature/EXCLUDED_FINAL/Edmunds and Burgess - 2017 - Colony size and turbulent flow speed modulate the .pdf,1,f2b93fadf77d2b4ddd2cb7559cae544d7bbb2eda,f2b93fadf77d2b4ddd2cb7559cae544d7bbb2eda,hash_match
literature/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,1,6734cfd9038df16d4b10530840b0f758276b09c6,6734cfd9038df16d4b10530840b0f758276b09c6,hash_match
literature/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,1,3eb3bb41bd6338b71c3ddb5f4fcef7f7a272e71d,3eb3bb41bd6338b71c3ddb5f4fcef7f7a272e71d,hash_match
literature/Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,literature/EXCLUDED_FINAL/Edmunds et al. - 2018 - Density-dependence mediates coral assemblage struc.pdf,1,9ca5a94d64bdfcc9806bf61a7fdb292737a73559,9ca5a94d64bdfcc9806bf61a7fdb292737a73559,hash_match
literature/Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,literature/EXCLUDED_FINAL/Edmunds et al. - 2025 - A physiological crisis drives the coral recruitmen.pdf,1,40df6a8ee0528817deefbe8fdf3868c38cfbebfd,40df6a8ee0528817deefbe8fdf3868c38cfbebfd,hash_match
literature/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,literature/META_ANALYSIS_POOL/Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,1,1a59ebd9d92156a1f94e1c363120784ae7babcce,1a59ebd9d92156a1f94e1c363120784ae7babcce,hash_match
literature/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,1,67e5d2644661983aba42dabfc171c99378519f9a,67e5d2644661983aba42dabfc171c99378519f9a,hash_match
literature/Enochs and Glynn - 2017 - Corallivory in the Eastern Pacific.pdf,literature/EXCLUDED_FINAL/Enochs and Glynn - 2017 - Corallivory in the Eastern Pacific.pdf,1,6f2938c5058cffb54e7bb844c9114b23d15565a3,6f2938c5058cffb54e7bb844c9114b23d15565a3,hash_match
literature/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,literature/META_ANALYSIS_POOL/Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,1,b3b8fade188c1a1b4434403c22064988a5f3b153,b3b8fade188c1a1b4434403c22064988a5f3b153,hash_match
literature/Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,literature/META_ANALYSIS_POOL/Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,1,4c645d47e37460841966b6d586289cccc7b466ac,4c645d47e37460841966b6d586289cccc7b466ac,hash_match
literature/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,literature/META_ANALYSIS_POOL/Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,1,07961bb0a3e81b577597606e51cb8b1cc876d27f,07961bb0a3e81b577597606e51cb8b1cc876d27f,hash_match
literature/Fox et al. - 2019 - Trophic plasticity in a common reef-building coral.pdf,literature/EXCLUDED_FINAL/Fox et al. - 2019 - Trophic plasticity in a common reef-building coral.pdf,1,68ecb13ff173757812ea80bb849b51f3edfd08c6,68ecb13ff173757812ea80bb849b51f3edfd08c6,hash_match
literature/Furby et al. - 2014 - Incidence of lesions on Fungiidae corals in the eastern Red Sea is related to water temperature and.pdf,literature/EXCLUDED_FINAL/Furby et al. - 2014 - Incidence of lesions on Fungiidae corals in the eastern Red Sea is related to water temperature and.pdf,1,b468db8ff5743dfdc87f622ff950f6a679bb8d3c,b468db8ff5743dfdc87f622ff950f6a679bb8d3c,hash_match
literature/Gardner et al. - 2019 - Coral microbiome diversity reflects mass coral ble.pdf,literature/EXCLUDED_FINAL/Gardner et al. - 2019 - Coral microbiome diversity reflects mass coral ble.pdf,1,30f019a14871d42a582e41b15e95879368c7a4ee,30f019a14871d42a582e41b15e95879368c7a4ee,hash_match
literature/Glynn et al. - 2025 - The role of holobiont composition and environmenta.pdf,literature/EXCLUDED_FINAL/Glynn et al. - 2025 - The role of holobiont composition and environmenta.pdf,1,52981d559e262c456a4596fa30aafae0ad44c659,52981d559e262c456a4596fa30aafae0ad44c659,hash_match
"literature/Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf","literature/META_ANALYSIS_POOL/Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf",1,4fc4356e86aaf22533d286a613fc56ab27caa012,4fc4356e86aaf22533d286a613fc56ab27caa012,hash_match
literature/Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,literature/META_ANALYSIS_POOL/Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,1,aa5096d8e6bb047eaf1c4e9a7229815b16a47840,aa5096d8e6bb047eaf1c4e9a7229815b16a47840,hash_match
literature/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,literature/META_ANALYSIS_POOL/Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,1,a5b10e3bd03a48707fb73953cfbbd04180a668ff,a5b10e3bd03a48707fb73953cfbbd04180a668ff,hash_match
literature/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,1,9e836a37d2ba06f014d047687dbd42579cf6a836,9e836a37d2ba06f014d047687dbd42579cf6a836,hash_match
"literature/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf","literature/META_ANALYSIS_POOL/Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",1,670d91a4f14ae6b253d29a32ec93817179c9bf8a,670d91a4f14ae6b253d29a32ec93817179c9bf8a,hash_match
literature/Han et al. - 2025 - In-depth single-cell transcriptomic exploration of the regenerative dynamics in stony coral.pdf,literature/MECHANISMS_ONLY/Han et al. - 2025 - In-depth single-cell transcriptomic exploration of the regenerative dynamics in stony coral.pdf,1,9e27986d248737af6d509f3cd139f0fe6914ec6c,9e27986d248737af6d509f3cd139f0fe6914ec6c,hash_match
literature/Henry and Hart - 2005 - Regeneration from Injury and Resource Allocation in Sponges and Corals - a Review.pdf,literature/EXCLUDED_FINAL/Henry and Hart - 2005 - Regeneration from Injury and Resource Allocation in Sponges and Corals - a Review.pdf,1,8c6aaa16da3392cd51e56e5fd6bc17bf9a7ea4cd,8c6aaa16da3392cd51e56e5fd6bc17bf9a7ea4cd,hash_match
literature/Honeycutt et al. - 2023 - Farmerfish gardens help buffer stony corals agains.pdf,literature/EXCLUDED_FINAL/Honeycutt et al. - 2023 - Farmerfish gardens help buffer stony corals agains.pdf,1,927804028aae491d60766f57920c11c55576e587,927804028aae491d60766f57920c11c55576e587,hash_match
literature/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,1,531e823be7c84a062ba4ab024813f1d19184a0ec,531e823be7c84a062ba4ab024813f1d19184a0ec,hash_match
literature/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,literature/META_ANALYSIS_POOL/Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,1,c3d87e1687554b65b2babb44385c97949ec15b79,c3d87e1687554b65b2babb44385c97949ec15b79,hash_match
literature/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,1,52c3e738e47c84a86a73a7bc14def3ee13a15872,52c3e738e47c84a86a73a7bc14def3ee13a15872,hash_match
literature/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,literature/META_ANALYSIS_POOL/Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,1,3856a0c2fcaf6ec1ea5892a1c0cb16e66d1ed870,3856a0c2fcaf6ec1ea5892a1c0cb16e66d1ed870,hash_match
literature/Jayewardene and Birkeland - 2006 - Fish predation on Hawaiian corals.pdf,literature/EXCLUDED_FINAL/Jayewardene and Birkeland - 2006 - Fish predation on Hawaiian corals.pdf,1,ee80f0770e8b2617e6ea86f9ec2b99ebe20fdef6,ee80f0770e8b2617e6ea86f9ec2b99ebe20fdef6,hash_match
literature/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,literature/META_ANALYSIS_POOL/Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,1,dea9eae72feb4a03fda4133e5514a13b7dcaecb3,dea9eae72feb4a03fda4133e5514a13b7dcaecb3,hash_match
literature/Jones and Barott - 2025 - Evidence of rare occurrences of the Phoenix effect in the Hawaiian corals Porites compressa a.pdf,literature/EXCLUDED_FINAL/Jones and Barott - 2025 - Evidence of rare occurrences of the Phoenix effect in the Hawaiian corals Porites compressa a.pdf,1,f504f36d0f8c12da351dd1c6ec8b05f4d8f07d24,f504f36d0f8c12da351dd1c6ec8b05f4d8f07d24,hash_match
literature/Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,literature/META_ANALYSIS_POOL/Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,1,d3186c41354d1b0975c8e2b5b825bec79c7962bf,d3186c41354d1b0975c8e2b5b825bec79c7962bf,hash_match
literature/Kersting and Linares - 2019 - Living evidence of a fossil survival strategy raises hope for warming-affected corals.pdf,literature/EXCLUDED_FINAL/Kersting and Linares - 2019 - Living evidence of a fossil survival strategy raises hope for warming-affected corals.pdf,1,3eb79602d458c595e8758eb16b9b9a72d3fc7c0a,3eb79602d458c595e8758eb16b9b9a72d3fc7c0a,hash_match
literature/Kokita and Nakazono - 2001 - Rapid response of an obligately corallivorous filefish Oxymonacanthus longirostris (Monacanthidae) t.pdf,literature/EXCLUDED_FINAL/Kokita and Nakazono - 2001 - Rapid response of an obligately corallivorous filefish Oxymonacanthus longirostris (Monacanthidae) t.pdf,1,34f9cab953cbc04776146ca9cbc57e3fc759e4bb,34f9cab953cbc04776146ca9cbc57e3fc759e4bb,hash_match
literature/Kordas et al. - 2011 - Community ecology in a warming world The influence of temperature on interspecific interactions in.pdf,literature/EXCLUDED_FINAL/Kordas et al. - 2011 - Community ecology in a warming world The influence of temperature on interspecific interactions in.pdf,1,0d00c7d9d8776abc012b17a46e63be42b5e3fdec,0d00c7d9d8776abc012b17a46e63be42b5e3fdec,hash_match
literature/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,literature/META_ANALYSIS_POOL/Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,1,e0baac5a3882a6273c148c3396b1d998c1244176,e0baac5a3882a6273c148c3396b1d998c1244176,hash_match
literature/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,literature/META_ANALYSIS_POOL/Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,1,124247b2b3b127f1bc4d7dfa6fa70f06dd081fff,124247b2b3b127f1bc4d7dfa6fa70f06dd081fff,hash_match
literature/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,literature/META_ANALYSIS_POOL/Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,1,1261199b2e8bc73931eb1b44d2e2f0fc07e7c3f1,1261199b2e8bc73931eb1b44d2e2f0fc07e7c3f1,hash_match
literature/Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,1,1910995b3a286239ebcfa0e659777181b0c1dc5e,1910995b3a286239ebcfa0e659777181b0c1dc5e,hash_match
literature/Leuzinger et al. - 2012 - Energy allocation in a reef coral under varying resource availability.pdf,literature/EXCLUDED_FINAL/Leuzinger et al. - 2012 - Energy allocation in a reef coral under varying resource availability.pdf,1,4c7063347b6b3f237ceb94f74348ba34aecc8385,4c7063347b6b3f237ceb94f74348ba34aecc8385,hash_match
literature/Levanoni - 2021 - Coral Tissue Growth and Regeneration Conjoin the Advent of Adult Stem Cell-Like Cells.pdf,literature/MECHANISMS_ONLY/Levanoni - 2021 - Coral Tissue Growth and Regeneration Conjoin the Advent of Adult Stem Cell-Like Cells.pdf,1,ed3d4049a03a9b92cea386d1ae84fb86e920d356,ed3d4049a03a9b92cea386d1ae84fb86e920d356,hash_match
literature/Levanoni et al. - 2024 - Coral Tissue Regeneration and Growth Is Associated with the Presence of Stem-like Cells.pdf,literature/MECHANISMS_ONLY/Levanoni et al. - 2024 - Coral Tissue Regeneration and Growth Is Associated with the Presence of Stem-like Cells.pdf,1,7c37790e4acefffb6f6511f3e05507eb42f23dbe,7c37790e4acefffb6f6511f3e05507eb42f23dbe,hash_match
"literature/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",1,ddd62a46e2714ce997b37fb713b83d5cbc2a7319,ddd62a46e2714ce997b37fb713b83d5cbc2a7319,hash_match
"literature/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",1,890fd0d2d083804c5d9ec42fd92ce3ca7b9c5371,890fd0d2d083804c5d9ec42fd92ce3ca7b9c5371,hash_match
literature/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,1,44f6403f9994b16bb7dfefdc43daade214b6f713,44f6403f9994b16bb7dfefdc43daade214b6f713,hash_match
"literature/Lock - Quantifying physiological responses to physical injury in Porites lobata, using a transcriptomic app.pdf","literature/DUPLICATES/Lock - Quantifying physiological responses to physical injury in Porites lobata, using a transcriptomic app.pdf",1,244aad2f70e77896a1e8b10d2db6b4de6d99c03f,244aad2f70e77896a1e8b10d2db6b4de6d99c03f,hash_match
literature/Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,literature/DUPLICATES/Lock et al. - 2022 - Calcium homeostasis disruption initiates rapid growth after micro-fragmentation in the scleractinian.pdf,1,074acce287e0751d1cb2f1df9ae8caa23b89ab60,074acce287e0751d1cb2f1df9ae8caa23b89ab60,hash_match
