source_set,source_id,paper_title,species,growth_form,tissue_type,genus,genus_candidates,family,family_candidates,growth_form_standard,skeletal_porosity,skeletal_porosity_candidates,skeletal_porosity_model_status,has_species,has_growth_form,has_tissue_type,has_model_genus,has_model_family,has_growth_form_standard,has_model_skeletal_porosity,tissue_type_mentions_perforate_or_imperforate,notes_or_tissue_mentions_perforate_or_imperforate,species_multi_or_ambiguous
digitization_queue,b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,"Porites astreoides, Stephanocoenia michelinii",massive,colony,,Porites; Stephanocoenia,,Poritidae; Astrocoeniidae,massive_submassive,,,porosity_missing,1,1,1,0,0,1,0,0,0,1
digitization_queue,b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,"Acropora hyacinthus, Montipora tuberculosa","tabular, foliaceous",perforate,,Acropora; Montipora,Acroporidae,Acroporidae,plating_foliose,,perforate,single_porosity_candidate_multi_taxon_not_model_ready,1,1,1,0,1,1,0,1,1,1
digitization_queue,c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,"Fungia scutaria, Fungia granulosa, Fungia horrida",solitary,tissue and skeleton fragments,Fungia,Fungia,Fungiidae,Fungiidae,solitary,,,porosity_missing,1,1,1,1,1,1,0,0,0,1
digitization_queue,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,Montastrea annularis,columnar,core,Montastraea,Montastraea,Montastraeidae,Montastraeidae,columnar,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,Acropora cervicornis,branching,branch,Acropora,Acropora,Acroporidae,Acroporidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,Acropora muricata,branching,fragment,Acropora,Acropora,Acroporidae,Acroporidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,Pocillopora spp.,branching,surface tissue,Pocillopora,Pocillopora,Pocilloporidae,Pocilloporidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,1
digitization_queue,d7f996dc-c00b-423c-b424-965cd78f9d1b,Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,"Acropora muricata, Pocillopora damicornis, Porites cylindrica",branching,branch,,Acropora; Pocillopora; Porites,,Acroporidae; Pocilloporidae; Poritidae,branching,,,porosity_missing,1,1,1,0,0,1,0,0,0,1
digitization_queue,daec544d-cfab-46db-be2a-1d3596bc0395,Burmester et al. - 2018 - The impact of autotrophic versus heterotrophic nutritional pathways on colony health and wound recov.pdf,Astrangia poculata,solitary,single polyp and coenenchyme,Astrangia,Astrangia,Astrangiidae,Astrangiidae,solitary,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,dde85c3e-6c0d-4057-9a5a-116138865992,"Bak - 1983 - Neoplasia, regeneration and growth in the reef-building coral Acropora palmata.pdf",Acropora palmata,branched,branch,Acropora,Acropora,Acroporidae,Acroporidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,e2191f69-a271-4c74-be4c-ebe977248362,Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,"Goniastrea retiformis, Acropora hyacinthus, Acropora robusta, Acropora palifera, Acropora gemmifera, Acropora millepora, Acropora cytherea, Porites lichen, Porites mayeri, Porites australiensis, Pocillopora damicornis","arborescent, tabular, submassive, bushy, massive, corymbose, digitate","perforate, imperforate",,Goniastrea; Acropora; Porites; Pocillopora,,Merulinidae; Acroporidae; Poritidae; Pocilloporidae,,,imperforate; perforate,multiple_porosity_values_not_collapsed,1,1,1,0,0,0,0,1,1,1
digitization_queue,ec19aed9-6875-473a-accb-914b065e6e10,Counsell et al. - 2019 - Colony size and depth affect wound repair in a branching coral.pdf,Pocillopora meandrina,branching,branch,Pocillopora,Pocillopora,Pocilloporidae,Pocilloporidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,0
digitization_queue,f46ad039-b2d6-4a0a-860d-98cf61f2a7de,Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,"Porites divaracata, Porites porites",branching,fragment,Porites,Porites,Poritidae,Poritidae,branching,,,porosity_missing,1,1,1,1,1,1,0,0,0,1
