source_id,paper_title,missing_location_raw,missing_exact_coords_latlon,missing_best_coords_latlon,missing_depth,missing_growth_form,missing_tissue_type,missing_area_mm2,missing_temperature_c,missing_sample_size
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",0,1,0,0,0,0,0,1,0
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,0,0,0,0,0,0,0,1,0
5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,0,0,0,0,0,0,0,0,0
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,0,1,0,0,0,0,0,1,0
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,0,1,0,0,0,0,0,0,0
acf00158-0890-4388-9a0e-da9194664ef6,Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,0,0,0,0,0,0,0,0,0
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,0,1,0,0,0,1,1,0,0
40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,0,0,0,0,0,0,0,0,0
a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,0,0,0,1,0,0,1,0,0
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,0,1,0,0,0,0,0,0,0
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",0,0,0,0,0,0,1,1,0
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",0,0,0,0,0,0,0,1,0
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,0,0,0,0,0,0,1,1,0
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,0,1,0,0,0,0,1,1,0
6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,0,1,0,0,0,0,0,0,0
c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,0,1,0,0,0,0,0,1,0
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,0,1,0,0,0,0,0,1,0
f46ad039-b2d6-4a0a-860d-98cf61f2a7de,Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,0,0,0,0,0,0,1,1,0
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,0,0,0,1,0,0,0,0,0
8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,0,1,0,0,0,0,0,1,0
b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,0,1,0,0,0,0,0,1,0
9f560a14-a39a-4d71-8d68-9c14a4001c75,Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,0,0,0,0,0,0,0,1,0
d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,0,1,0,0,0,0,0,1,0
84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,0,1,0,0,0,0,1,1,0
a3b88246-eb7f-49ed-a997-67c6d36e9413,Oren et al. - 2001 - Colony Integration during Regeneration in the Stony Coral Favia favus.pdf,0,1,0,0,0,0,0,1,0
d7f996dc-c00b-423c-b424-965cd78f9d1b,Page and Willis - 2008 - Epidemiology of skeletal eroding band on the Great Barrier Reef and the role of injury in the initia.pdf,0,0,0,0,0,0,0,1,0
3f852e08-6b2f-488b-9351-0f78b2ba41a5,Palacios et al. - 2014 - Fish corallivory on a pocilloporid reef and experimental coral responses to predation.pdf,0,0,0,0,0,0,0,0,0
6f750c49-3261-482c-ade2-373835f7cf40,Paz-García - 2006 - Temporal variation in the regeneration rate of artificial lesions in two morphotypes of Porites pana.pdf,0,0,0,0,0,0,0,0,0
06ab1757-8fe9-4325-96ed-6f3106b325e4,Raymundo et al. - 2016 - Effects of Coralliophila violacea on tissue loss in the scleractinian corals Porites spp. depend on.pdf,0,1,0,1,0,0,1,1,0
0ccdd954-1740-44d7-a2c6-6280125057b5,Rice et al. - 2019 - Different nitrogen sources speed recovery from corallivory and uniquely alter the microbiome of a re.pdf,0,0,0,0,0,0,0,0,0
002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,0,0,0,0,0,0,0,0,0
33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,0,0,0,0,0,0,1,0,0
fe532d7a-f878-4a85-962a-7de43d06a80c,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,0,0,0,0,0,0,1,1,0
6da70b1c-7428-4a76-904c-b69d981f2824,Sabine et al. - 2015 - Environmental conditions influence tissue regeneration rates in scleractinian corals.pdf,0,0,0,0,0,0,0,0,0
2059b598-335f-4890-8512-6e1f86fed557,Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,0,0,0,0,0,0,1,0,0
9d6998fc-caf1-4dbd-883f-ad9b9184d062,Shaver et al. - 2017 - Effects of predation and nutrient enrichment on the success and microbiome of a foundational coral.pdf,0,0,0,0,0,0,0,1,0
635d9cb2-270b-4bcc-b676-c84b81b0620b,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,0,1,1,0,0,0,0,1,0
b269f689-c2c5-48a1-8ecb-f284c3ed7edc,Titlyanov et al. - 2005 - Regeneration of artificial injuries on scleractinian corals and coralalgal competition for newly fo.pdf,0,0,0,0,0,0,1,0,0
9c887b4c-dae5-4725-96db-948c2491e53d,Titlyanov et al. - 2006 - Three stages of injuries regeneration on scleractinian corals.pdf,0,0,0,0,0,0,1,0,0
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,0,0,0,0,0,0,0,0,0
347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,0,1,0,0,0,0,0,1,0
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,0,1,0,0,0,0,0,1,0
26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,0,0,0,0,0,0,0,1,0
6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",0,1,0,1,0,0,1,1,0
32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,0,0,0,0,0,0,0,1,0
d48f4420-bee1-4bd3-95e6-7f646095131b,Wesseling et al. - 2001 - Partial Mortality in Porites Corals Variation among Philippine Reefs.pdf,0,1,0,0,0,0,1,1,0
1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,0,0,0,0,0,0,0,0,0
9cbae935-6259-4ba6-a2ec-44d3f3bc0902,Yap and Gomez - 1984 - Growth of Acropora pulchra II. Responses of natural and transplanted colonies to temperature and da.pdf,0,1,0,0,0,0,1,0,0
