source_id,paper_title,final_status,extraction_readiness,response_rate,response_growth,response_reproduction,response_survival,moderator_environment,moderator_traits,study_type,study_year,location_raw,site_name,country_territory,water_body,latitude_raw,longitude_raw,latitude,longitude,depth_min_m,depth_max_m,species,growth_form,tissue_type,colony_size_cm,symbiont_status,lesion_source,lesion_method,lesion_type,area_mm2,rel_wound_size,perimeter_mm,lesion_depth,num_lesions,lesion_position,temperature_c,temp_manip,ph_or_pco2,nutrient_enrich,light_par,light_regime,sedimentation,flow_regime,sample_size,replication_level,randomization,blocking,control_description,notes,notebook_covariate_status,query_batch_id,query_attempts,latitude_approx,longitude_approx,approx_coordinate_basis,approx_coordinate_confidence,approx_location_notes,latitude_best,longitude_best,best_coordinate_basis,best_coordinate_confidence
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Cróquer et al. - 2002 - Environmental factors affecting tissue regeneration of the reef - building coral Montastraea annular.pdf,include_primary,needs_digitization,1,0,0,0,0,0,field,1998,"Dos Mosquises, Archipiélago Los Roques National Park",S1 (horseshoe reef) and S2 (fringing reef lagoon),Venezuela,,11º 48' N,66º 53'W,11.800000,-66.883333,1,1.5,Montastraea annularis,massive,imperforate,30-60 cm2 area,,experimental,scratching the coral surface with a hard-nylon brush; jetting out the tissue from the polyps using a syringe,"tissue, tissue and skeleton",,,,,32,top and bottom of the colonies,26-31,,,,,,"0.16 g/cm2/day, 0.266 g/cm2/day",,32,"16 colonies per site, 2 replicates per treatment combination",,,,"Lesion diameter ranged from 4.5-5 cm (small) to 7.5-8 cm (large). Evaluated tissue regeneration under different sedimentation regimes, lesion types (simulated parrotfish vs butterflyfish), sizes, and positions. [repair: Growth form and tissue type were inferred from the standard characteristics of Montastraea annularis, while initial lesion area was provided as a range of diameters rather than a explicitly stated area.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_018,1,,,,,,11.976667,-66.882500,reported_exact,high
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",include_primary,needs_digitization,1,0,0,0,0,0,laboratory,2013,"Fort Wetherill National Park in Jamestown, Rhode Island",Fort Wetherill National Park,USA,,41 28° 40°° N,71 21° 34°°W,,,6,10,Astrangia poculata,,visible polyp and coenenchyme tissue,8.48-11.78 cm2 live surface area,symbiotic and aposymbiotic,experimental,"removed visible polyp and coenenchyme tissue with a Waterpik, eroded raised corallite structure relatively flat with a diamond coated file",tissue and skeleton,,"25%, 50%, and 75% of total colony live surface area",,,1 or 2,"1, 2, or 3 quadrants of the coral surface",18,,,targeted ad libitum feedings of copepods daily,,high output (HO) T5 fluorescent fixtures (daylight and actinic bulb),,"integrated, flow-through aquarium system with ultraviolet-sterilized, particulate-filtered seawater",50,5 colonies of each symbiotic state per wound treatment and control group,randomly and evenly allocated among tanks; randomly assigned to wound treatments,,no wounding treatment,"Evaluated the response of symbiotic and aposymbiotic A. poculata to wounds of varying size and shape. Recovery originated primarily from tissue remnants within the lesion site, demonstrating a 'Phoenix effect' healing pattern. [repair: Coordinates were extracted as reported despite typographical errors in the source, while growth form and specific absolute initial lesion areas were not explicitly reported and could not be unambiguously inferred.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_022,1,41.477778,-71.359444,site_facility_centroid,high,"Exact coordinates are reported in the paper; approximate duplicate intentionally omitted. Fort Wetherill State Park proxy, aligned with other Astrangia studies from the same site.",41.477778,-71.359444,site_facility_centroid,high
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis et al. - 2011 - Lesion regeneration capacities in populations of the massive coral Porites lutea at Réunion Island.pdf,include_primary,ready_extract,1,0,0,0,0,1,field,2007-2008,Réunion Island,"Planch’Alizé, Trou d’Eau, Varangue, Kiosque",Réunion,south-western Indian Ocean,21° 07’ S,55° 32’ E,-21.116667,55.533333,1,2,Porites lutea,massive,perforate,68,,experimental,grinding stone (Dremel) powered by a pneumatic drill,tissue and skeleton,330,,,3,,top of the colonies,23.2-32.7,,,,,,,,70,"25 colonies at 2 sites initially, reduced to 10 colonies at 4 sites in subsequent seasons",selected haphazardly,,,"Evaluated the regeneration capacity of standard artificial lesions in Porites lutea across four sites and four seasons to assess the role of extrinsic environmental factors. [repair: Tissue type was inferred as perforate based on the standard biological classification of the focal genus Porites, as it was not explicitly stated in the text.]",parsed,batch_023,1,,,,,,-21.116667,55.533333,reported_exact,high
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,include_primary,ready_extract,1,1,0,0,0,0,field,2008,west coast of Réunion Island at two shallow reef-flat sites,Planch’Alizé and Kiosque,Réunion,Indian Ocean,21°07'S,55°32'E,-21.116667,55.533333,1,2,Acropora muricata,branching,branch,,C3 Symbiodinium,experimental,grinding stone,tissue and skeleton,104,,,3,1,mid-height on the side of each branch,,,,,,,,,150,5 colonies per site; 5 injured and 9-10 control nubbins per colony,5 replicate nubbins from each colony were randomly selected for injury,,undamaged nubbins left intact to monitor baseline growth and photosynthetic efficiency,Investigated relationships between skeletal growth and lesion regeneration in contrasting natural environments. Demonstrated a trade-off where fast growth associated with high zooxanthellae densities impaired regeneration capacity. [repair: Specific ambient or experimental temperature values were plotted in figures but not explicitly reported in the text.] [agent repair: Temperature was not reported as a single explicit study-level value.],parsed,batch_024,1,,,,,,-21.116667,55.533333,reported_exact,high
3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",include_primary,needs_digitization,1,1,0,1,1,0,laboratory,,Oceanário de Lisboa (Portugal),Oceanário de Lisboa,Portugal,,,,,,,,"Acropora tenuis, Pocillopora damicornis, Stylophora pistillata, Psammocora contigua, Montipora capricornis, Turbinaria reniformis, Echinopora lamellosa, Galaxea fascicularis","branching, plating, encrusting, massive",fragment,"2-4 (branching), 3x3 (plating, encrusting, massive)",,experimental,circular injuries inflicted using a Dremel rotatory tool with a cutting disk,tissue and skeleton,7.07,,,,1,middle section of the fragments,"26, 30, 32","acclimated 1 °C per hour to 26 °C, 30 °C, and 32 °C for 60 days",pH 8.2-8.3,,320-345,12 h light/ 12 h dark cycle,,"turnover rate of 5 times per hour, increased surface water motion using a powerhead",180,10 control and 10 injured fragments per species,,,undamaged fragments,"Investigated mortality, growth, and regeneration of 9 Indo-Pacific coral species subjected to experimental injury and thermal stress. [repair: Coordinates and natural collection depths were not reported, as the study was conducted in a laboratory using captive coral colonies.] [agent repair: Explicit latitude/longitude were not reported in the accessible text. Numeric depth bounds were not explicitly reported in the accessible text.]",parsed,batch_025,1,38.763503,-9.093783,site_facility_centroid,high,"Oceanário de Lisboa, Doca dos Olivais, Parque das Nações, Lisbon; used the aquarium location as the study-site proxy for captive corals.",38.763503,-9.093783,site_facility_centroid,high
c849a042-644e-4b4f-a530-33cfb800d9a9,E and Y - 1996 - Regeneration versus budding in fungiid corals a trade-off.pdf,include_primary,needs_digitization,1,1,0,0,0,0,laboratory and field,,coral reef in Ellat (Red Sea),,Israel,Red Sea,,,,,,,"Fungia scutaria, Fungia granulosa, Fungia horrida",solitary,tissue and skeleton fragments,,,experimental,broken into wedge-shaped fragments; placement of putty on adult corallum; removal of surface tissues,fragmentation and tissue loss,,,,,,,25,,,,,12 h light: 12 h dark,,daily water changes in petri dishes; aerated sea water in aquaria,20,"8 large fragments with mouth, 10 large fragments without mouth, 10 medium fragments without mouth, 32 small fragments without mouth",,,,"Investigated the mechanism of bud formation and a physiological trade-off between tissue regeneration and asexual budding in solitary fungiid corals after experimental damage. [repair: Coordinates, explicit numeric depth bounds, and exact initial lesion areas in mm^2 were not reported in the provided text.] [agent repair: Explicit latitude/longitude were not reported in the accessible text. Numeric depth bounds were not explicitly reported in the accessible text. A single directly comparable wound area was not explicitly reported.]",parsed,batch_027,1,29.500000,34.916667,town_or_lab_centroid,medium,Only Eilat/Red Sea was given; used the Eilat marine-lab / north-beach reef area as a conservative proxy.,29.500000,34.916667,town_or_lab_centroid,medium
b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,include_primary,ready_extract,1,1,0,0,0,1,laboratory,2008,lagoon of Moorea,,French Polynesia,,17°30'S,149°50'W,-17.500000,-149.833333,3,4,"Porites spp., Porites lutea, Porites lobata",massive,tissue and skeleton,<4,,experimental,gouging with snub nose pliers,tissue and skeleton,68,,,1-2,2,haphazard locations,"26.7, 29.6",maintained at ~26.7 or ~29.6 °C,,,700,12-h light/12-h dark cycle,,6 and 21 cm s-1,80,10 colonies per treatment combination,allocated randomly to treatments; position within raceways randomized daily,,undamaged colonies,"Evaluated how sub-lethal damage interacts with temperature and water flow to affect growth, maximum dark-adapted quantum yield of PSII (Fv/Fm), and healing.",parsed,batch_028,1,,,,,,-17.500000,-149.833333,reported_exact,high
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,include_primary,ready_extract,1,1,0,0,0,0,mesocosm,2013-2014,back reef in Moorea,Richard B. Gump South Pacific Research Station,French Polynesia,,,,,,2,3,"Porites spp., Porites lutea, Porites lobata",massive,perforate,~4,,experimental,snub-nose pliers to scrape a rectangular lesion,tissue and skeleton,"99, 250","~4%, ~10%",,"1-2, 5-6",1,upper surface,"28.0, 28.8",,"400, 1000 μatm",,"373, 627",,,supplied with fresh seawater at 100-200 mL min-1,152,6 corals per treatment combination in each of 3 tanks (Experiment 1); 10 corals per treatment combination in each of 2 tanks (Experiment 2),"randomly assigned to tanks, randomly repositioned within tanks daily",,undamaged corals,"Tested the effects of ocean acidification (~400 vs ~1000 μatm PCO2) on calcification and tissue regeneration in massive Porites spp. following superficial (scraping) and deep (excavation) damage simulating corallivory. [repair: Coordinates were not explicitly reported; tissue type was inferred as perforate based on the standard biological classification of the focal genus Porites.] [agent repair: Temperature was explicitly reported as 28.1-29.0 C. Sample sizes were 2, 6, and 20. Coordinates and lesion area were not recoverable.]",parsed,batch_029,1,-17.487250,-149.886930,site_facility_centroid,medium,Back-reef study on Moorea proxied to the Richard B. Gump station / Cook's Bay centroid from local Moorea records.,-17.487250,-149.886930,site_facility_centroid,medium
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Meesters et al 1992 sedimentation and lesion position.pdf,include_primary,needs_digitization,1,0,0,0,1,0,field,1990-1991,leeward fringing reefs of Curaçao,"Low, High, SedDown, SedUp",Netherlands Antilles,,,,,,3,6,"Acropora palmata, Diploria strigosa, Porites astreoides, Siderastrea siderea, Montastrea annularis","branching, massive",perforate,,,experimental,submersible drill with a small grinding point,tissue and skeleton,78,,,2,1,"top of the colony, sides of colonies, in between two ridges",,,,,"244, 829",,24-107 g dry weight m-2 d-1,,344,22-35 colonies per species per treatment,haphazardly selected colonies,,low sedimentation sites (Low and SedUp),"Studied the effects of long-term and short-term sedimentation stress, as well as intra-colony lesion position (top vs side) and photoadaptation, on tissue regeneration rates. [repair: Coordinates and experimental water temperatures were not reported, initial lesion area was provided as an approximate diameter rather than an exact area, and tissue type was explicitly noted as perforate for Porites astreoides.] [agent repair: Two depth bands were explicitly reported. Lesion area was approximately 0.78 cm2, converted here to 78 mm2. Growth form was branching. Temperature and coordinates were not recoverable.]",parsed,batch_030,1,12.13,-69.12,coast_or_region_centroid,low,Leeward fringing reefs of Curaçao; site names are treatment labels rather than place names.,12.13,-69.12,coast_or_region_centroid,low
348d7203-b68d-472c-89da-e3e6704b2f50,Eh and Rpm - 1995 - Age-related deterioration of a physiological function in the branching coral Acropora palmata.pdf,include_primary,ready_extract,1,0,0,0,1,1,field,1991,fringing reef in front of the Curaçao Seaquarium,Curaçao Seaquarium,Netherlands Antilles,Caribbean,,,,,2,4,Acropora palmata,branching,perforate,,,experimental,submersible pneumatic drill powered by a SCUBA tank and equipped with a small grinding point,tissue and skeleton,159.4,,,1.90,1,"upperside of branches at 3, 12, or 66 cm from the tip",,,,,,,,,21,"3 branches per colony randomly chosen; each received a single lesion at 3, 12, or 66 cm",haphazardly selected colonies; randomly chosen branches,randomized blocks design,,"Assessed regeneration potential of Acropora palmata at different distances from the branch tip (3, 12, and 66 cm). Regeneration capability decreased exponentially from tip to base, indicating age-related senescence. [repair: Coordinates and temperature were not explicitly reported, and tissue type was inferred as perforate based on the standard biological classification of the focal genus Acropora.] [agent repair: Depth was reported as 2-4 m. Lesion area was 1.59 cm2, converted here to 159 mm2. Growth form was branching. Coordinates and temperature were not recoverable.]",parsed,batch_031,1,12.083611,-68.895833,site_facility_centroid,high,Curaçao Seaquarium fringing reef site.,12.083611,-68.895833,site_facility_centroid,high
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,include_primary,ready_extract,1,0,0,0,1,0,field,1992,southwestern coast of the island of Curaçao,Carmabi buoy 2,Netherlands Antilles,Caribbean,,,,,4,6,Montastrea annularis,columnar,imperforate,,,experimental,small grinding stones attached to a pneumatic drill powered by a SCUBA tank,tissue and skeleton,"83, 183, 243, 406",,,2.5,4,column,,,,,,,,,25,"25 colonies, each receiving 4 circular lesions of different sizes (1 per randomly selected column)",colonies selected haphazardly; columns selected randomly,randomized complete block design,,"Presented a relationship predicting regeneration of physical damage based on regeneration capacity and lesion shape. Found that regeneration slows exponentially and is primarily determined by the initial length of the lesion perimeter. [repair: Coordinates and specific temperatures were not explicitly reported in the text, and tissue type was inferred as imperforate based on the standard biological classification of the focal species Montastraea annularis.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_032,1,12.126389,-68.976111,site_facility_centroid,high,Carmabi buoy 2 on Curaçao's southwest coast.,12.126389,-68.976111,site_facility_centroid,high
ad751939-b061-4323-9097-c1e7d2e9576f,Fine et al. - 2002 - Bleaching effect on regeneration and resource translocation in the coral Oculina patagonica.pdf,include_primary,needs_digitization,1,0,0,1,0,0,field,2000,"Sdot-Yam, Mediterranean coast of Israel",Sdot-Yam,Israel,Mediterranean Sea,32° 29.77’ N,34° 53.23’ E,32.496167,34.887167,3,6,Oculina patagonica,encrusting,tissue,12-15,"unbleached, partly bleached, and totally bleached",experimental,air-pick jet,tissue,200,,,,1,center of colony or center of bleached section,,,,,,,,,51,"13 unbleached, 11 partly bleached, and 10 totally bleached colonies for recovery; 17 colonies for 14C-labelling",,,intact unbleached colonies or background 14C activity in intact tissues,"Compared regeneration capabilities and intra-colonial translocation of 14C photosynthetic products in unbleached, partly bleached, and totally bleached colonies. Demonstrated a bleaching threshold of ~30-40% above which resource translocation to lesions is terminated. [repair: Specific experimental or ambient temperature values were not explicitly reported in the study.] [agent repair: No additional explicit value recovered in this conservative pass; remaining fields appear unreported or too ambiguous to infer.]",parsed,batch_034,1,32.496167,34.887167,site_facility_centroid,high,Sdot-Yam locality; retained the site point already associated with the study locality as the approximate coordinate.,32.496167,34.887167,site_facility_centroid,high
