source_id,paper_title,location_raw,location_standardized,site_name,reef_or_bay,island_or_coast,country_territory,water_body,latitude,longitude,depth_min_m,depth_max_m,location_type,coordinate_basis,coordinate_confidence,location_notes,latitude_approx,longitude_approx,approx_coordinate_basis,approx_coordinate_confidence,approx_location_notes,latitude_best,longitude_best,best_coordinate_basis,best_coordinate_confidence,location_row_id
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,"Algae Reef, Upper Florida Keys",,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_023
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Biscayne National Park,,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_024
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Biscayne National Park and Florida Keys,,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_025
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Florida Keys and Biscayne National Park,,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_026
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Key Largo 6 m,,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_027
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,Key Largo depth gradient,,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_028
a1e7fabd-36e1-4556-804c-e6f1a9c17581,Fisher et al. - 2007 - Lesion regeneration rates in reef-building corals Montastraea spp. as indicators of colony condition.pdf,"White Banks, Upper Florida Keys",,"Alina’s Reef, Key Largo (KL) 6 m, White Banks (WB), Algae Reef (AR), KL 3 m, KL 9 m, KL 18 m",,,USA,,25.003500,-80.383667,3,18,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.003500,-80.383667,reported_exact,high,loc_029
3a3fb59c-a303-49f1-aa80-21ffe7d182cf,Fong and Lirman - 1995 - Hurricanes Cause Population Expansion of the Branching Coral Acropora palmata (Scleractinia).pdf,Elkhorn Reef Florida Keys,,Elkhorn reef,,,USA,,25.362767,-80.166017,,,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.362767,-80.166017,reported_exact,high,loc_030
6a14a9e9-da4e-425f-bf9d-59fa573487e1,"Guzmán et al. - 1994 - Injury, regeneration and growth of Caribbean reef corals after a major oil spill in Panama.pdf",Bahia Las Minas Panama,,"LRE1, LRE2, PAYW, PAYN, JUG, PALW, DONR, DMA, MAR3, NARS, GALC, PM",,,Panama,Caribbean Sea,,,0.5,6,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,9.402032,-79.814606,bay_centroid,medium,Bay-level proxy for Bahía Las Minas; the paper samples multiple named sub-sites across the bay.,9.402032,-79.814606,bay_centroid,medium,loc_031
e2191f69-a271-4c74-be4c-ebe977248362,Hall - 1997 - Interspecific differences in the regeneration of artificial injuries on scleractinian corals.pdf,Great Barrier Reef Australia,,"North Reef, Osprey Island",,,Australia,Great Barrier Reef,128409.000000,1458289.000000,,,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,128409.000000,1458289.000000,reported_exact,high,loc_032
b9536b7f-eb24-428a-8a9f-9750a74faa1f,Hall - 2001 - The response of Acropora hyacinthus and Montipora tuberculosa to three different types of colony dam.pdf,"Mermaid Cove, Lizard Island, Australia",,Mermaid Cove,,,Australia,,14840.000000,145828.000000,,,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,14840.000000,145828.000000,reported_exact,high,loc_033
33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,Florida Keys,,Wonderland Reef,,,USA,western Atlantic,24.561500,-81.503000,8,8,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,24.561500,-81.503000,reported_exact,high,loc_034
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,Lizard Island,,"South Reef, Lizard Head, Washing Machine, North Reef, Mermaid Cove",,,Australia,Great Barrier Reef,-14.666667,145.466667,,,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-14.666667,145.466667,reported_exact,high,loc_035
58b15640-3061-4ea9-a606-877701eef38c,"Hamman - 2019 - Spatial distribution of damage affects the healing, growth, and morphology of coral.pdf",Moorea,,"Cook’s Bay, Richard B. Gump South Pacific Research Station",,,French Polynesia,,,,2,3,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,-17.487250,-149.886930,site_facility_centroid,medium,"North-shore Moorea / Cook's Bay proxy; the paper did not print coordinates, so the Gump station centroid is the closest stable site-level point.",-17.487250,-149.886930,site_facility_centroid,medium,loc_036
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,Carriacou Grenada,,"Dragon Bay, Flamingo Bay, Quarter Wreck, Northern Exposure, Sandy Island, Whirlpool, Jackadam, Seaview",,,Grenada,Caribbean Sea,12.841767,-61.783567,10,12,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,12.841767,-61.783567,reported_exact,high,loc_037
5f4a560f-1449-4b1d-96ad-236a0da5fcb7,Horwitz and Fine - 2014 - High CO2 detrimentally affects tissue regeneration of Red Sea corals.pdf,"Eilat, Gulf of Aqaba, Red Sea",,Interuniversity Institute (IUI) for Marine Sciences in Eilat,,,Israel,Red Sea,29.500000,34.916667,10,10,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,29.500000,34.916667,reported_exact,high,loc_038
4cc9b30b-9ed8-4123-82aa-2f182db391b7,Jayewardene - 2010 - Experimental determination of the cost of lesion healing on Porites compressa growth.pdf,"Hawaii, USA",,Hawaii Institute of Marine Biology,,,USA,,,,2,2,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,21.432700,-157.787700,site_facility_centroid,high,Hawaii Institute of Marine Biology / Coconut Island centroid in Kāneʻohe Bay.,21.432700,-157.787700,site_facility_centroid,high,loc_039
45fcfd8e-a2d2-4345-aec0-baeb03f883a4,Jayewardene et al. - 2009 - Effects of frequent fish predation on corals in Hawaii.pdf,Main Hawaiian Islands,,"Portlock, Wawaloli Beach, Puako, Anaehoomalu Bay, Wawaloli FMA, Wawaloli FMAshallow, Papawai, Keei, Keeishallow, Hanauma Bay, Hanauma Bayshallow, Kealakakua Bay",,,USA,,,,2,12,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,20.525000,-157.300000,study_extent_midpoint,low,Nine shallow reefs across the Main Hawaiian Islands; a single centroid would be misleading. Archipelago-level centroid for the Main Hawaiian Islands based on the island-chain span; broad multi-island proxy.,20.525000,-157.300000,study_extent_midpoint,low,loc_040
acf00158-0890-4388-9a0e-da9194664ef6,Kaufman et al. - 2021 - Thermal history influences lesion recovery of the threatened Caribbean staghorn coral Acropora cervi.pdf,"Florida Reef Tract, Florida, USA",,Key Biscayne Nursery,,,USA,,25.676000,-80.098000,9,9,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.676000,-80.098000,reported_exact,high,loc_041
04e10b24-592e-4cf3-8f94-226c7904262d,Kramarsky-Winter and Loya - 2000 - Tissue regeneration in the coral Fungia granulosa  the effect of extrinsic and intrinsic factors.pdf,"Gulf of Eilat, Red Sea",,H. Steinitz Marine Biological Laboratory,,,Israel,Red Sea,,,8,8,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,29.500000,34.916667,site_facility_centroid,high,Near the H. Steinitz Marine Biological Laboratory in Eilat; used the lab-adjacent reef area as the proxy point.,29.500000,34.916667,site_facility_centroid,high,loc_042
40359446-8345-4a72-8169-af86ad3de9d6,Lenihan and Edmunds - 2010 - Response of Pocillopora verrucosa to corallivory varies with environmental conditions.pdf,"Moorea, French Polynesia",,Cook's Bay,,,French Polynesia,,-17.500000,-149.833333,2,4,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-17.500000,-149.833333,reported_exact,high,loc_043
a67392b0-7a7e-43ad-917d-94febf750c1a,Lenihan et al. - 2015 - Hydrodynamics influence coral performance through simultaneous direct and indirect effects.pdf,French Polynesia,,"L1, L2, L3, L4, L5",,,French Polynesia,Vaipahu Lagoon,-17.500000,-149.833333,,,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-17.500000,-149.833333,reported_exact,high,loc_044
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,"Curacao, Netherlands Antilles",,"desalination-power plant, Awa Blancu",,,Netherlands Antilles,,,,5,9,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.067497,-68.793922,site_facility_centroid,medium,"Reference site Awa Blancu on leeward Curaçao; this is a site proxy, not an exact paper coordinate.",12.067497,-68.793922,site_facility_centroid,medium,loc_045
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",Elkhorn Reef Florida Keys,,"Elkhorn Reef, Ball Buoy Reef, Key Largo Dry Rocks, Little Grecian Reef, French Reef, Pickles Reef, Dry Tortugas, Saba Island, Hawksnest Bay, Buck Island",,,"USA, US Virgin Islands","Caribbean Sea, Florida Reef Tract",25.308733,-80.199933,0.5,8,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.308733,-80.199933,reported_exact,high,loc_046
3764e810-0eb0-4d34-baca-2c5136c95bc8,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",Northern Florida Reef Tract,,Elkhorn Reef,,,USA,Florida Reef Tract,25.362767,-80.166017,0.1,0.5,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge [worker confirmed existing coordinates are exact],,,,,Exact coordinates already exist in the source/current manifest; approximate duplicate omitted.,25.362767,-80.166017,reported_exact,high,loc_047
d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,"Florida Keys, USA",,staghorn coral nursery,,,USA,,25.362550,-80.166417,5.5,5.5,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,25.362550,-80.166417,reported_exact,high,loc_048
070cf5f2-ae03-4d99-8e1b-7e07f8428803,Loya - 1976 - Skeletal regeneration in a Red Sea scleractinian coral population.pdf,"Eilat, Red Sea, Israel",,,,,Israel,"Gulf of Eilat, Red Sea",,,3,4,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,29.500000,34.916667,town_or_lab_centroid,medium,City-level Eilat locality only; used the marine-lab / north-beach reef area as a conservative proxy.,29.500000,34.916667,town_or_lab_centroid,medium,loc_049
6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,Bonaire style thermal bleaching experiment,,"Site 1, Site 2, Site 3",,,Netherlands Antilles,,,,2,25,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.1775,-68.2385,island_centroid,medium,Bonaire island-level bleaching experiment; site labels were not geographically specific.,12.1775,-68.2385,island_centroid,medium,loc_050
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Meesters et al 1992 sedimentation and lesion position.pdf,"Curacao, Netherlands Antilles",,"Low, High, SedDown, SedUp",,,Netherlands Antilles,,,,3,6,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.13,-69.12,coast_or_region_centroid,low,Leeward fringing reefs of Curaçao; site names are treatment labels rather than place names.,12.13,-69.12,coast_or_region_centroid,low,loc_051
c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,"Curaçao, Netherlands Antilles",,Carmabi buoy 1,,,Netherlands Antilles,,,,7,7,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.124722,-68.972222,site_facility_centroid,high,Carmabi buoy 1 site on Curaçao.,12.124722,-68.972222,site_facility_centroid,high,loc_052
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,Caribbean reef survey,,"Avila beach hotel, Carmabi buoy 2, Seaquarium",,,Netherlands Antilles,Caribbean Sea,,,1.5,3.5,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.105,-68.926,study_extent_midpoint,medium,"Three-site Curaçao reef survey across Avila Beach Hotel, Carmabi buoy 2, and Seaquarium; using the survey-area centroid.",12.105,-68.926,study_extent_midpoint,medium,loc_053
f46ad039-b2d6-4a0a-860d-98cf61f2a7de,Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,"Florida Keys, USA",,Pickles Reef,,,USA,,24.986667,-80.418883,6,8,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,24.986667,-80.418883,reported_exact,high,loc_054
8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,"Curacao, Netherlands Antilles",,Carmabi buoy 1,,,Netherlands Antilles,,,,5,7,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.124722,-68.972222,site_facility_centroid,high,Carmabi buoy 1 site on Curaçao.,12.124722,-68.972222,site_facility_centroid,high,loc_055
b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,"Curacao, Netherlands Antilles",,Seaquarium reef,,,Netherlands Antilles,Caribbean Sea,,,5,35,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,12.083611,-68.895833,reef_centroid,high,Seaquarium reef on Curaçao's leeward coast.,12.083611,-68.895833,reef_centroid,high,loc_056
9f560a14-a39a-4d71-8d68-9c14a4001c75,Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,"Lizard Island, Great Barrier Reef, Australia",,"Horseshoe Reef, Palfrey Island, South Island lagoon, Lizard Island lagoon",,,Australia,Great Barrier Reef,-14.668889,145.459444,3,4,field_site,reported_exact,high,NotebookLM covariate merge Notebook covariate final merge,,,,,,-14.668889,145.459444,reported_exact,high,loc_057
d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,"Okinawa, Japan",,,,,Japan,,,,2,3,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,26.335830,127.801390,coast_or_region_centroid,low,Broad Okinawa-only locality; this is a prefecture-level centroid rather than a site-level geocode.,26.335830,127.801390,coast_or_region_centroid,low,loc_058
84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,Eilat Red Sea,,Marine Biology Laboratory of Eilat,,,Israel,"Gulf of Eilat, Red Sea",,,2,3,field_site,reported_site_name,medium,NotebookLM covariate merge Notebook covariate final merge,29.500000,34.916667,site_facility_centroid,high,Marine Biology Laboratory of Eilat / adjacent shallow reef area used in the study.,29.500000,34.916667,site_facility_centroid,high,loc_059
