candidate_id,source_id,response_type,paper_title,local_relpath,covariate,tier,domain,recommended_grain,evidence_source,candidate_rank,candidate_text,existing_value,target_status,needs_pdf_verification
cand_000020,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,sample_size,1,study_design,observation_or_treatment,pdf_text_regex,3,"with less than or equal to 10% damage by AEFW, N = 71.",108,existing_source_covariate,1
cand_000021,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,variance_type,1,response_value,observation,pdf_text_regex,1,present for SE and 95% CI at that given time interval.,,pdf_text_candidate,1
cand_000022,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,variance_type,1,response_value,observation,pdf_text_regex,2,Event Treatment Time regenerated regenerated regenerated SE 95% CI CI,,pdf_text_candidate,1
cand_000023,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,variance_type,1,response_value,observation,pdf_text_regex,3,"by a hazards ratio (HR) less than 1, confidence interval (CI) not overlapping 1, and a p-",,pdf_text_candidate,1
cand_000024,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,endpoint_definition,1,response_timing,source_or_treatment,pdf_text_regex,1,identifiable by dark pigmentation (symbionts) inside corallites within the wound site.,,pdf_text_candidate,1
cand_000025,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,endpoint_definition,1,response_timing,source_or_treatment,pdf_text_regex,2,"defined as new tissue growth within the wound site, identifiable by symbiont re-pigmentation",,pdf_text_candidate,1
cand_000026,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,field_lab_mesocosm,1,study_design,source,pdf_text_regex,1,"Thank you to my family, friends, committee members, lab mates, fellow UCSB",lab,existing_model_covariate,1
cand_000027,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,field_lab_mesocosm,1,study_design,source,pdf_text_regex,2,Thank you to my wonderful and caring friends and lab,lab,existing_model_covariate,1
cand_000028,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,field_lab_mesocosm,1,study_design,source,pdf_text_regex,3,"mesocosm experiment in Moorea, French Polynesia, using a prominent reef building coral,",lab,existing_model_covariate,1
cand_000029,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,omega_arag,2,environment,treatment,pdf_text_regex,1,fragment was secured to an aragonite coral plug (Ocean Wonders) with bonding glue (Bulk,,pdf_text_candidate,1
cand_000030,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,omega_arag,2,environment,treatment,pdf_text_regex,2,using an aragonite density of 2.93 (Jokiel 1978).,,pdf_text_candidate,1
cand_000031,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,nutrient_treatment,2,environment,treatment,pdf_text_regex,1,"exacerbated by stressful conditions, such as warming that can disrupt nutrient acquisition by",,pdf_text_candidate,1
cand_000032,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,nutrient_treatment,2,environment,treatment,pdf_text_regex,2,Heat stress destabilizes symbiotic nutrient cycling in corals.,,pdf_text_candidate,1
cand_000033,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,light_PAR,2,environment,source_or_treatment,pdf_text_regex,1,shed light on how resources are allocated to other processes such as growth.,344,existing_source_covariate,1
cand_000034,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,light_PAR,2,environment,source_or_treatment,pdf_text_regex,2,timepoint of this study to examine coral holobiont respiration (light-enhanced dark respiration),344,existing_source_covariate,1
cand_000035,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,light_PAR,2,environment,source_or_treatment,pdf_text_regex,3,"photosynthesis (see methods for Symbiont Performance), I measured light-enhanced dark",344,existing_source_covariate,1
cand_000036,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,flow_speed,2,environment,treatment_or_source,pdf_text_regex,1,"northern shore of Moorea (17.48725° S, 149.88693° W) and transported them to flow-through",present_or_manipulated,existing_model_covariate,1
cand_000037,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,flow_speed,2,environment,treatment_or_source,pdf_text_regex,2,I allowed glued fragments to cure in a flow-through seawater table for several,present_or_manipulated,existing_model_covariate,1
cand_000038,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,flow_speed,2,environment,treatment_or_source,pdf_text_regex,3,through a three-output manifold to three of the six tanks for a flow rate between 244 to 298,present_or_manipulated,existing_model_covariate,1
cand_000039,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,symbiotic_state,2,intrinsic_state,treatment_or_observation,pdf_text_regex,1,Corals primarily obtain energy through a symbiotic relationship with photosynthetic,symbiotic,existing_source_covariate,1
cand_000040,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,symbiotic_state,2,intrinsic_state,treatment_or_observation,pdf_text_regex,2,"Research on a facultatively symbiotic coral, Astrangia poculata, shows that the",symbiotic,existing_source_covariate,1
cand_000041,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,symbiotic_state,2,intrinsic_state,treatment_or_observation,pdf_text_regex,3,and nutritional energy for the zooxanthellate coral host to fuel metabolic processes.,symbiotic,existing_source_covariate,1
cand_000042,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,symbiont_density,2,intrinsic_state,treatment_or_observation,pdf_text_regex,1,"symbiont densities and chlorophyll a content (i.e., bleaching), respectively.",,pdf_text_candidate,1
cand_000043,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,bleaching_status,2,biotic_context,treatment_or_source,pdf_text_regex,1,"storms (Madin and Connolly, 2006), and bleaching events (Hoegh-Guldberg et.",,pdf_text_candidate,1
cand_000044,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,bleaching_status,2,biotic_context,treatment_or_source,pdf_text_regex,2,identifiable by dark pigmentation (symbionts) inside corallites within the wound site.,,pdf_text_candidate,1
cand_000045,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,bleaching_status,2,biotic_context,treatment_or_source,pdf_text_regex,3,"defined as new tissue growth within the wound site, identifiable by symbiont re-pigmentation",,pdf_text_candidate,1
cand_000046,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,disease_status,2,biotic_context,treatment_or_source,pdf_text_regex,1,"susceptible to infection and exhibit slower healing rates, especially under elevated",,pdf_text_candidate,1
cand_000047,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,disease_status,2,biotic_context,treatment_or_source,pdf_text_regex,2,"respect to colony size, competition for space (Highsmith, 1982), and disease susceptibility",,pdf_text_candidate,1
cand_000048,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,disease_status,2,biotic_context,treatment_or_source,pdf_text_regex,3,(Scleractinia) and the subsequent impact of a coral disease.,,pdf_text_candidate,1
cand_000049,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,algal_competition,2,biotic_context,treatment_or_observation,pdf_text_regex,1,algal endosymbionts (Symbiodinaceae).,,pdf_text_candidate,1
cand_000050,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,algal_competition,2,biotic_context,treatment_or_observation,pdf_text_regex,2,"algae (Symbiodinaceae), which can provide up to 90% of their nutritional energy (Muscatine,",,pdf_text_candidate,1
cand_000051,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,algal_competition,2,biotic_context,treatment_or_observation,pdf_text_regex,3,"presence of algal symbionts significantly increases healing capacity, even when corals have",,pdf_text_candidate,1
cand_000052,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,predator_context,2,biotic_context,treatment_or_source,pdf_text_regex,1,"tissue and skeleton following various disturbances such as predation (Rotjan and Lewis, 2008),",,pdf_text_candidate,1
cand_000053,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,predator_context,2,biotic_context,treatment_or_source,pdf_text_regex,2,"Superficial wounds (e.g., scraping by fish or",,pdf_text_candidate,1
cand_000054,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,predator_context,2,biotic_context,treatment_or_source,pdf_text_regex,3,xperiences physical disturbance events from storms and crown of thorns sea star predation,,pdf_text_candidate,1
cand_000055,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,season,2,environment,source_or_treatment,pdf_text_regex,1,Effects of Warming on Host and Symbiont Physiology During Wound Regeneration in the,,pdf_text_candidate,1
cand_000056,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,season,2,environment,source_or_treatment,pdf_text_regex,2,"exacerbated by stressful conditions, such as warming that can disrupt nutrient acquisition by",,pdf_text_candidate,1
cand_000057,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,growth,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,season,2,environment,source_or_treatment,pdf_text_regex,3,"Given increases in the prevalence of marine heatwaves and global warming,",,pdf_text_candidate,1
cand_000058,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,1,ImageJ to quantify wound area and signs of healing.,"22, 95",existing_source_covariate,1
cand_000059,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,2,"area minus wound surface area (i.e., the area of coral tissue removed or damaged by the","22, 95",existing_source_covariate,1
cand_000060,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,initial_wound_area_mm2,1,wound_geometry,treatment_or_observation,pdf_text_regex,3,"was 1.07 ± 0.04 cm-2, with a resulting wound area of only 0.22 ± 0.02 cm-2.","22, 95",existing_source_covariate,1
cand_000061,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,pdf_text_regex,1,however tissue regeneration was faster in abraded corals.,"tapered micro spatula tool, Gryphon Diamond Blade Saw",existing_source_covariate,1
cand_000062,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,injury_mechanism_standard,1,wound_design,treatment,pdf_text_regex,2,"known to rapidly regrow fragmented branches (Bak, 1983) as well as the “Phoenix effect”","tapered micro spatula tool, Gryphon Diamond Blade Saw",existing_source_covariate,1
