normalized_row_id,source_table,source_row,source_id,paper_title,local_relpath,response_type,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,figure_or_table_label,page,panel_label,qa_status,notes
EXTRACTION_FITNESS-15,data/extraction/EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,growth,Porites spp. (massive),Calcification (mg cm-2 d-1),Acidification (pH 7.6),,,0.79,0.6,SE,,20,,,,,needs_source_provenance_review,No significant wounding effect
EXTRACTION_FITNESS-16,data/extraction/EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,growth,Montastraea annularis,Calcification (mg cm-2 d-1),Experimental Lesion,,,2.19,1.49,SE,,20,,,,,needs_source_provenance_review,Immediate calcification decrease
EXTRACTION_FITNESS-17,data/extraction/EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,growth,Acropora cervicornis,Linear Growth (cm d-1),Fragmentation,,,0.04,0.015,SD,,30,,,,,needs_source_provenance_review,Short-term growth slowdown
EXTRACTION_SURVIVAL-2,data/extraction/EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,Pocillopora damicornis,,Experimental Fragmentation,,,14,24,,,,395,,,,needs_source_provenance_review,58% mortality in fragments
EXTRACTION_SURVIVAL-3,data/extraction/EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",survival,Pocillopora damicornis,,Experimental Dislodgement,,,14,33,,,,395,,,,needs_source_provenance_review,60% mortality in dislodged corals
EXTRACTION_SURVIVAL-4,data/extraction/EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,Porites spp. (massive),,Snail Predation,,,11,11,,,,42,,,,needs_source_provenance_review,31% mortality with snails
EXTRACTION_SURVIVAL-5,data/extraction/EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,survival,Porites spp. (massive),,Sediment + Snail,,,11,11,,,,42,,,,needs_source_provenance_review,Sediment did not further increase mortality
EXTRACTION_SURVIVAL-6,data/extraction/EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",survival,Acropora palmata,,Storm Fragmentation,,,25,25,,,,1460,,,,needs_source_provenance_review,40% tissue mortality in transplants
EXTRACTION_SURVIVAL-7,data/extraction/EXTRACTION_SURVIVAL.csv,7,12e9e864-5ff1-42c4-a63d-19b5d62a7464,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,survival,Acropora cervicornis,,Disease following damage,,,0,0,,,,0,,,,needs_source_provenance_review,Survival negatively impacted by post-wound disease
RATE_EXTRACTED_OBSERVATIONS-2,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,2,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,,,rate,Acropora pulchra,event_proportion,all treatments pooled,13/14,corals with at least two healing signs,,,,,14,,Figure 1; Table 1,17,,extracted_needs_independent_qc,Prose reports 92 percent or 13 of 14 fragments by day 19; event definition is at least two of polyp corallite or tissue regeneration.
RATE_EXTRACTED_OBSERVATIONS-3,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,3,12939915-cb9c-4190-9682-7477eb8d2698,,,rate,Acropora aspera,endpoint_complete_regrowth,ambient SST 26 C,complete,apical tip regrowth,,,,,5,,Figures 2A-2F,7,,extracted_needs_independent_qc,Ambient injured colonies had complete apical tip regrowth by experimental day 12.
RATE_EXTRACTED_OBSERVATIONS-4,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,4,12939915-cb9c-4190-9682-7477eb8d2698,,,rate,Acropora aspera,linear_extension_endpoint,ambient SST 26 C,1.44,mm apical extension,,,,,5,,Figure 5,9,,extracted_needs_independent_qc,SEM endpoint from fixed landmark to apical tip; ambient extension evident by day 6.
RATE_EXTRACTED_OBSERVATIONS-5,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,5,12939915-cb9c-4190-9682-7477eb8d2698,,,rate,Acropora aspera,linear_extension_endpoint,ambient SST 26 C,2.2,mm apical extension,,,,,5,,Figure 5,9,,extracted_needs_independent_qc,SEM endpoint from fixed landmark to apical tip; complete extension evident by day 12.
RATE_EXTRACTED_OBSERVATIONS-6,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,6,12939915-cb9c-4190-9682-7477eb8d2698,,,rate,Acropora aspera,linear_extension_endpoint,sub-bleaching SST 32 C,0.5,mm apical extension,,,,,5,,Figure 5,9,,extracted_needs_independent_qc,Elevated-temperature treatment had emergent apical tip in some samples by day 10 with only about 0.5 mm extension.
RATE_EXTRACTED_OBSERVATIONS-7,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,7,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,,,rate,Acropora muricata,model_slope_and_time_to_closure,site,24,percent initial lesion size remaining,,,SD,0.012,25,,Figure 3,3,,extracted_needs_independent_qc,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 192 d.
RATE_EXTRACTED_OBSERVATIONS-8,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,8,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,,,rate,Acropora muricata,model_time_to_closure,site,complete,modeled healing,,,,,25,,Figure 3,3,,extracted_needs_independent_qc,Same exponential model as slope row; complete healing averaged 192 d.
RATE_EXTRACTED_OBSERVATIONS-9,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,9,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,,,rate,Acropora muricata,model_slope_and_time_to_closure,site,3,percent initial lesion size remaining,,,SD,0.017,23,,Figure 3,3,,extracted_needs_independent_qc,Exponential decay slope reported for remaining lesion size; modeled complete healing averaged 81 d.
RATE_EXTRACTED_OBSERVATIONS-10,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,10,4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,,,rate,Acropora muricata,model_time_to_closure,site,complete,modeled healing,,,,,23,,Figure 3,3,,extracted_needs_independent_qc,Same exponential model as slope row; complete healing averaged 81 d.
RATE_EXTRACTED_OBSERVATIONS-11,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,11,b0949a7c-520e-4a37-af04-25979598ec2d,,,rate,Porites spp.,range_across_treatments,all temperature-flow treatments,42-54,percent lesion area decline,,,range,across treatments,40,,Figure 2,6,,coarse_extraction_needs_qc,Text reports mean lesion-area decline range over four treatments and equivalent healing rates.
RATE_EXTRACTED_OBSERVATIONS-12,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,12,2e3b055f-28df-4def-97aa-660ac537a95f,,,rate,Porites spp.,initial_decline_rate,ambient PCO2,20.6,percent original lesion area remaining at 20 d,,,SE,0.8,20,,Figure 2,4,,extracted_needs_independent_qc,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.
RATE_EXTRACTED_OBSERVATIONS-13,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,13,2e3b055f-28df-4def-97aa-660ac537a95f,,,rate,Porites spp.,initial_decline_rate,elevated PCO2,22.7,percent original lesion area remaining at 20 d,,,SE,0.9,20,,Figure 2,4,,extracted_needs_independent_qc,Initial decline rate from Experiment 2; final endpoint after 20 d retained in response fields.
RATE_EXTRACTED_OBSERVATIONS-14,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,14,2e3b055f-28df-4def-97aa-660ac537a95f,,,rate,Porites spp.,overall_rate,ambient PCO2,,percent original lesion area,,,not_reported,,20,,Figure 2,5,,extracted_needs_independent_qc,Discussion reports overall healing rate in ambient PCO2 during Experiment 2.
RATE_EXTRACTED_OBSERVATIONS-15,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,,,rate,Porites spp.,overall_rate,elevated PCO2,,percent original lesion area,,,not_reported,,20,,Figure 2,5,,extracted_needs_independent_qc,Discussion reports overall healing rate in elevated PCO2 during Experiment 2.
RATE_EXTRACTED_OBSERVATIONS-16,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,16,348d7203-b68d-472c-89da-e3e6704b2f50,,,rate,Acropora palmata,model_slope,3 cm from branch tip,,lesion surface area,,,95% CI,0.170-0.267,21,,Table 1,4,,extracted_needs_independent_qc,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
RATE_EXTRACTED_OBSERVATIONS-17,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,17,348d7203-b68d-472c-89da-e3e6704b2f50,,,rate,Acropora palmata,model_slope,12 cm from branch tip,,lesion surface area,,,95% CI,0.095-0.170,21,,Table 1,4,,extracted_needs_independent_qc,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
RATE_EXTRACTED_OBSERVATIONS-18,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,18,348d7203-b68d-472c-89da-e3e6704b2f50,,,rate,Acropora palmata,model_slope,66 cm from branch tip,,lesion surface area,,,95% CI,0.050-0.085,21,,Table 1,4,,extracted_needs_independent_qc,Model uses lesion size = S0 plus Smax times 10^(-slope*days); slope is reported as positive magnitude.
RATE_EXTRACTED_OBSERVATIONS-19,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,19,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,,,SE,2,,,Figure 4,5,,extracted_needs_independent_qc,Short-term regeneration rate among 6 m sites.
RATE_EXTRACTED_OBSERVATIONS-20,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,20,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,,,SE,2,,,Figure 4,5,,extracted_needs_independent_qc,Short-term regeneration rate among 6 m sites.
RATE_EXTRACTED_OBSERVATIONS-21,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,21,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,,,SE,2,,,Figure 4,5,,extracted_needs_independent_qc,Short-term regeneration rate among 6 m sites.
RATE_EXTRACTED_OBSERVATIONS-22,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,22,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,6 m site,,standardized regeneration rate,,,SE,2,,,Figure 4,5,,extracted_needs_independent_qc,Short-term regeneration rate among 6 m sites.
RATE_EXTRACTED_OBSERVATIONS-23,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,23,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,depth gradient,,standardized regeneration rate,,,SE,3,,,Figure 4,6,,extracted_needs_independent_qc,Short-term regeneration rate along depth gradient.
RATE_EXTRACTED_OBSERVATIONS-24,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,24,a1e7fabd-36e1-4556-804c-e6f1a9c17581,,,rate,Montastraea spp.,short_term_rate,depth gradient,,standardized regeneration rate,,,SE,2,,,Figure 4,6,,extracted_needs_independent_qc,Short-term regeneration rate along depth gradient.
RATE_EXTRACTED_OBSERVATIONS-25,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,25,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,,,rate,Acropora palmata,interval_linear_rate,Oct-Dec interval,,linear tissue-front advance,,,SE,0.31,6,,Table I,7,,extracted_needs_independent_qc,Overall mean for six natural hurricane-generated lesions.
RATE_EXTRACTED_OBSERVATIONS-26,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,26,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,,,rate,Acropora palmata,interval_linear_rate,Dec-Mar interval,,linear tissue-front advance,,,SE,0.21,6,,Table I,7,,extracted_needs_independent_qc,Overall mean for six natural hurricane-generated lesions.
RATE_EXTRACTED_OBSERVATIONS-27,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,27,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,,,rate,Acropora palmata,interval_linear_rate,Oct-Mar interval,,linear tissue-front advance,,,SE,0.16,6,,Table I,7,,extracted_needs_independent_qc,Overall mean for six natural hurricane-generated lesions.
RATE_EXTRACTED_OBSERVATIONS-28,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,28,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,,,rate,Acropora palmata,interval_areal_rate,Oct-Mar interval,,area recovered,,,SE,0.7,6,,Table I,7,,extracted_needs_independent_qc,Overall mean area recovered for six natural hurricane-generated lesions.
RATE_EXTRACTED_OBSERVATIONS-29,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,29,3a3fb59c-a303-49f1-aa80-21ffe7d182cf,,,rate,Acropora palmata,endpoint_percent_recovered,Oct-Mar interval,31.1,percent area recovered,,,SE,6.7,6,,Table I,7,,extracted_needs_independent_qc,Overall mean percent area recovered across six natural hurricane-generated lesions.
RATE_EXTRACTED_OBSERVATIONS-30,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,30,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,oiled reefs,47.0,percent regenerated,,,SD,10.8,,,Table 6,8,,extracted_needs_independent_qc,Experiment 1 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-31,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,31,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs,6.1,percent regenerated,,,SD,3.0,,,Table 6,8,,extracted_needs_independent_qc,Experiment 1 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-32,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,32,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,oiled reefs,76.5,percent regenerated,,,SD,3.5,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-33,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,33,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,unoiled reefs,35.2,percent regenerated,,,SD,10.1,,,Table 6,8,,extracted_needs_independent_qc,Experiment 2 percent coral regeneration.
RATE_EXTRACTED_OBSERVATIONS-34,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,34,6a14a9e9-da4e-425f-bf9d-59fa573487e1,,,rate,Siderastrea siderea,endpoint_percent_regenerated,oiled reefs reciprocal transplant,80.5,percent regenerated,,,SD,4.4,,,Table 6,8,,extracted_needs_independent_qc,Reciprocal transplant percent coral regeneration.
