value_key,source_id,paper_title,covariate,value,value_kind,dataset_files,row_count,support_status,token_coverage,numeric_coverage,matched_terms,notebook_content_chars,notebook_content_sha256,note
nlmval_2f80864f8b99,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Species,Porites spp. (massive),quantitative_extraction_value,data/extraction/EXTRACTION_SURVIVAL.csv,2,high_token_match,1.00,,massive | porites,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_8abe26db056d,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Stressor,Snail Predation,quantitative_extraction_value,data/extraction/EXTRACTION_SURVIVAL.csv,1,direct_string_match,1.00,1.00,Snail Predation,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_b570c62ecceb,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Stressor,Sediment + Snail,quantitative_extraction_value,data/extraction/EXTRACTION_SURVIVAL.csv,1,direct_string_match,1.00,1.00,Sediment + Snail,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_7abe35e87f20,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Wounded_Dead,3,quantitative_extraction_value,data/extraction/EXTRACTION_SURVIVAL.csv,2,partial_token_or_numeric_match,,1.00,3,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_ebd6bb594d4a,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,Wounded_Total,11,quantitative_extraction_value,data/extraction/EXTRACTION_SURVIVAL.csv,2,numeric_only_present,,1.00,11,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_9fd65494b269,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,control_value,11,quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,2,numeric_only_present,,1.00,11,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_84e5c2d9949d,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,duration_days,42,quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,2,numeric_only_present,,1.00,42,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_729c71d98480,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,taxon_raw,Porites spp. (massive),quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,2,high_token_match,1.00,,massive | porites,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_08fa190ace99,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,treatment_or_stressor,Snail Predation,quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,1,direct_string_match,1.00,1.00,Snail Predation,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_d663e71bc167,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,treatment_or_stressor,Sediment + Snail,quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,1,direct_string_match,1.00,1.00,Sediment + Snail,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_1fb438fe0283,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,wounded_value,11,quantitative_extraction_value,data/extraction/all_responses/ALL_RESPONSE_EXISTING_EXTRACTION_ROWS.csv,2,numeric_only_present,,1.00,11,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_0be7bc8c71a4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,colony_size_value,>10,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,numeric_only_present,,1.00,10,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_288174f67ae3,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,initial_wound_area_mm2,32.8,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,numeric_only_present,,1.00,32.8,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_d73b2ec69011,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_depth_mm,tissue,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,direct_string_match,1.00,1.00,tissue,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_3edae10ea3b7,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,light_PAR,1285.1,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,direct_string_match,1.00,1.00,1285.1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_e137b9cd1064,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,monitoring_duration_days,42,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,1,numeric_only_present,,1.00,42,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_b28238035b9b,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,num_lesions_per_colony,1,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,partial_token_or_numeric_match,,1.00,1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_6276028e5421,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,nutrient_concentration,30 g slow-release Classic Osmocote (19-6-12 N-P-K),response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,partial_token_or_numeric_match,1.00,0.50,classic | osmocote | release | slow | 19 | 30,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_d29d9fa40c86,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,sample_size,88,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,numeric_only_present,,1.00,88,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_5d844e9de750,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,sedimentation,5 ml sediment <500 µm twice per week (~100 mg cm-2 day-1),response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,partial_token_or_numeric_match,1.00,0.60,sediment | twice | week | 100 | 5 | 500,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_c1d9ac17fcce,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,symbiotic_state,zooxanthellate,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,no_direct_text_match,0.00,,,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,No direct NotebookLM text match; review against the PDF/figure before treating this as an error.
nlmval_409e32bc498f,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,taxon_raw,Porites spp.,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,1,direct_string_match,1.00,1.00,Porites spp.,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_eadc8c7be6a0,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,taxon_raw,Porites spp. (massive),response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,1,high_token_match,1.00,,massive | porites,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_e478a3d35a65,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,temperature_c,24.6-30.5,response_covariate_target,data/extraction/all_responses/ALL_RESPONSE_COVARIATE_TARGETS.csv,2,partial_token_or_numeric_match,,0.50,24.6,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_23be1ea60388,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,area_mm2,32.8,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,numeric_only_present,,1.00,32.8,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_a7f47659610f,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,blocking,"parent colony, cinderblock",source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,high_token_match,1.00,,cinderblock | colony | parent,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_b8295ab3bc71,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,colony_size_cm,>10,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,numeric_only_present,,1.00,10,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_0c67cfd33df7,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,control_description,"ambient nutrients, no sediment addition, and no snail predation",source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,high_token_match,1.00,,addition | ambient | nutrients | predation | sediment | snail,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_e98a9a355653,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,country_territory,French Polynesia,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv | notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,3,direct_string_match,1.00,1.00,French Polynesia,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_a4711795188b,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,depth_max_m,2,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,partial_token_or_numeric_match,,1.00,2,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_c207295aca3f,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,depth_min_m,1,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,partial_token_or_numeric_match,,1.00,1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_d9d75c81b33c,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,growth_form,massive,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,massive,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_f8456f4cd086,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,growth_form_raw,massive,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,direct_string_match,1.00,1.00,massive,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_a5a7d453f0d4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,initial_wound_area_raw,32.8,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,numeric_only_present,,1.00,32.8,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_c3309fafab48,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,latitude_raw,17°28.770'S,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,17°28.770'S,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_c3bb7984e578,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_depth,tissue,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,tissue,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_7866ed3c9630,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_depth_raw,tissue,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,direct_string_match,1.00,1.00,tissue,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_e675248e3b18,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_method,Coralliophila violacea snail feeding,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,high_token_match,1.00,,coralliophila | feeding | snail | violacea,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_f035189ab949,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_method_raw,Coralliophila violacea snail feeding,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,high_token_match,1.00,,coralliophila | feeding | snail | violacea,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_a2855e90bc53,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_source,experimental,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,experimental,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_93ab79e88b6c,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_type,tissue,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,tissue,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_fe5c0a83efbd,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,lesion_type_raw,tissue,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,direct_string_match,1.00,1.00,tissue,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_50bb5eebd2c4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,light_par,1285.1,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,1285.1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_409dbced4e84,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,light_raw,1285.1,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,direct_string_match,1.00,1.00,1285.1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_711f00467a07,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,location_raw,"Mo'orea, French Polynesia",source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv | notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,3,direct_string_match,1.00,1.00,"Mo'orea, French Polynesia",79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_7b983e827816,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,longitude_raw,149°47.618'W,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,direct_string_match,1.00,1.00,149°47.618'W,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_1f9c856737eb,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,num_lesions,1,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,partial_token_or_numeric_match,,1.00,1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_f2224cc0daab,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,num_lesions_raw,1,source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,partial_token_or_numeric_match,,1.00,1,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_52f7cf50fec7,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,nutrient_enrich,30 g slow-release Classic Osmocote (19-6-12 N-P-K),source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,partial_token_or_numeric_match,1.00,0.50,classic | osmocote | release | slow | 19 | 30,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_ad1a22e8bc12,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,nutrient_enrichment_raw,30 g slow-release Classic Osmocote (19-6-12 N-P-K),source_covariate,data/extraction/meta_analysis/META_ANALYSIS_COVARIATES.csv,1,partial_token_or_numeric_match,1.00,0.50,classic | osmocote | release | slow | 19 | 30,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_1750a8abdf05,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,randomization,randomly assigned to treatments,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,high_token_match,1.00,,assigned | randomly | treatments,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_539b21cb66e0,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,replication_level,11 massive Porites fragments per treatment across 8 treatments,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,high_token_match,1.00,1.00,across | fragments | massive | porites | treatment | treatments | 11 | 8,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
nlmval_d87e8c5f76c6,002a60bc-55c8-4fdb-860a-1169fc99b2a8,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,sample_size,88,source_covariate,notebook_covariates/notebook_covariates_all_sources_geoaugmented.csv | notebook_covariates/notebook_covariates_primary_geoaugmented.csv,2,numeric_only_present,,1.00,88,79692,01ba5f45ee928626609a819ab021eabf48cf29b7829ba8a8d889ec32af9f985a,
