queue_id,queue_audit_status,source_id,paper_title,response_type,source_file_status,local_relpath,candidate_rows_reviewed,verified_candidate_rows,replacement_candidate_rows,rejected_candidate_rows,blocked_rows,recommended_candidate_count,recommended_candidates,recommended_candidate_text,rejected_original_candidates,needs_manual_visual_review,recommended_action
DIG-1d237b2c-growth,no_valid_candidate_found,1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,2,0,0,2,0,0,,,figure:FIG. 1:p4|figure:FIG. 3:p6,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-1d237b2c-survival,audited_candidate_available,1d237b2c-1d5d-479a-985a-bde3d28a4fce,Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Wolf and Nugues - 2013 - Synergistic effects of algal overgrowth and corallivory on Caribbean reef‐building corals.pdf,2,1,1,0,0,1,figure:FIG. 3:p6,figure:FIG. 3:p6 :: FIG. 3. Independent and combined effects of Halimeda opuntia and corallivores on coral mortality and bleaching for Hermodice carunculata on Montastraea faveolata and Coralliophila abbreviata on Montastraea annularis.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-2059b598-rate,audited_candidate_available,2059b598-335f-4890-8512-6e1f86fed557,Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,5,3,2,0,0,3,figure:Fig. 3:p4|figure:Fig. 4:p5|figure:Fig. 5:p5,figure:Fig. 3:p4 :: Fig. 3. Tissue regeneration rates in Balanophyllia europaea. Variation in tissue regeneration rates with average pH in the solitary zooxanthellate B. europaea analyzed at the four sites in two experimental periods. r = Spearman correlation coefficient; n = number of individuals. || figure:Fig. 4:p5 :: Fig. 4. Tissue regeneration rates in Leptopsammia pruvoti. Variation in tissue regeneration rates with average pH in the solitary non-zooxanthellate L. pruvoti analyzed at the four sites in three experimental periods. r = Spearman correlation coefficient; n = number of individuals. || figure:Fig. 5:p5 :: Fig. 5. Tissue regeneration rates in Astroides calycularis. Variation in tissue regeneration rates with average pH in the colonial non-zooxanthellate A. calycularis analyzed at the four sites in three experimental periods. r = Spearman correlation coefficient; n = number of individuals.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-26d408bb-rate,audited_candidate_available,26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,4,2,2,0,0,3,table:Table 1:p3|figure:Fig. 1:p4|table:Table 2:p5,"table:Table 1:p3 :: Table 1. Porites lutea and P. lobata. Regression analyses and slope comparisons for lesion healing on massive corals. Data were fitted to ln y = ln b - at, with intercept, slope, number of data points, variance accounted for, regression probability, and slope-comparison probability reported. || figure:Fig. 1:p4 :: Fig. 1. Regeneration of lesions on massive Porites spp. using the exponential equation y = be^-at and its equivalent ln y = ln b - at, with fitted regressions and 95% confidence limits for three lesion-size classes; time constants are 34, 59 and 83 days. || table:Table 2:p5 :: Table 2. Porites lobata, P. lutea and P. solida. Ratio of lesion perimeter to surface area on massive corals, where H indicates completely healed and R indicates re-classified into a smaller size class at the first observation; lesion depth below low water datum is given.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-28b1e816-rate,audited_candidate_available,28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",5,3,2,0,0,3,figure:Fig. 3:p6|table:Table 1:p6|figure:Fig. 2:p4,"figure:Fig. 3:p6 :: Fig. 3. Healing patterns in Astrangia poculata. Mean proportion of the lesion area recovered for each wound group of symbiotic colonies, aposymbiotic colonies, all wound groups combined, and mean surface area of new tissue by recovery type. Error bars represent standard error from the mean. || table:Table 1:p6 :: Table 1. Model summary of beta regression for central recovery with logit link function. Pseudo-R2 = 0.555, Log-likelihood = 39.651, AICc = -67.427. || figure:Fig. 2:p4 :: Fig. 2. Time series of wounding and recovery in Astrangia poculata. Pre-wounding and post-wounding images after 3, 7, 10, 15, 20, 30, and 60 days, with close-ups of single polyp recovery.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-292bbd72-rate,audited_candidate_available,292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,1,0,1,0,0,1,figure:unlabeled figure:p3,"figure:unlabeled figure:p3 :: Regeneration of damaged colonies of the coral Porites lutea. A, one of the coral colonies used in the experiment; B, mechanically damaged colony after 1 month of exposure to moderate illumination; C, regeneration of the damaged colony after 3 months of exposure to moderate illumination in an aquarium; D, a completely recovered colony fragment after 6 months of maintenance at moderate illumination.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-2b8676ad-growth,audited_candidate_available,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,growth,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,5,0,5,0,0,3,table:Table 3.4:p74|table:Table 5.1:p111|figure:Figure 5.2:p109,"table:Table 3.4:p74 :: Table 3.4. (a) Linear extension of new growth for the two injury types (tissue removal and branch removal) inflicted on A. millepora and A. gemmifera in experiment 2b (mean + 1 SE). KW represents the Kruskal-Wallis statistic obtained by comparing the differences in linear extension between the two injury types, and P equals the probability. (b) Injury size and regeneration (percent of injury recovered) for the two injury types inflicted on A. millepora and A. gemmifera in experiment 2b (mean + 1 SE). || table:Table 5.1:p111 :: Table 5.1. Summary of ANCOVA results testing the effects of injury size and frequency on colony growth (cm2) and regeneration (cm2) for each species. The covariate for colony growth is initial colony size and the covariate for regeneration is injury size. || figure:Figure 5.2:p109 :: Figure 5.2. (a) Final colony size (cm2) adjusted for initial colony size by ANCOVA showing the effect of injury size and frequency of damage on absolute colony growth for each species. (b) The amount of regeneration (cm2) over nine months, adjusted for initial injury size by ANCOVA, for each injury treatment by species. Error bars represent one standard error.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-2b8676ad-rate,audited_candidate_available,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,5,0,5,0,0,4,figure:Figure 4.2:p89|table:Table 4.1:p90|table:Table 4.4:p94|figure:Figure 3.1:p68,"figure:Figure 4.2:p89 :: Figure 4.2. Mean regeneration of injuries (expressed as a percentage of the original injury size) for injury type and species after 12 and 24 days. Error bars represent one SE. || table:Table 4.1:p90 :: Table 4.1. Summary of the repeated measures ANOVA testing for differences in regeneration between species and injury types (Between Subject Effects) and how these patterns change between censuses (Within Subject Effects). || table:Table 4.4:p94 :: Table 4.4. A summary of the repeated measures analysis of covariance testing for differences in regeneration between A. hyacinthus and M. tuberculosa for breakage injuries (Between Subject Effects) and how these patterns change between censuses (Within Subject Effects) after the effect of the amount of tissue available for regeneration (ATR) has been adjusted for. || figure:Figure 3.1:p68 :: Figure 3.1. A photographic series showing the recovery of the tissue and scraping injuries inflicted on Porites australiensis over time, where a = tissue injury and b = scraping injury.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-2b8676ad-reproduction,audited_candidate_available,2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,reproduction,local_pdf_available,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,5,0,5,0,0,3,table:Table 5.2:p112|figure:Figure 5.3:p115|table:Table 5.3:p113,"table:Table 5.2:p112 :: Table 5.2. Summary of ANOVA results testing colony-wide effects of injury size and frequency on egg volume per polyp (mm3), and the proportion of polyps with mature gonads (polyp fecundity) for the three species. || figure:Figure 5.3:p115 :: Figure 5.3. Proportion of polyps with mature gonads averaged over colonies for injury treatments and position effects within colonies for A. hyacinthus, A. gemmifera, and G. retiformis. || table:Table 5.3:p113 :: Table 5.3. Summary of ANOVA results testing the localised effects of injury size and frequency on egg volume per polyp (mm3) and proportion of polyps with mature gonads (polyp fecundity) for the three species.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-2e76dce4-reproduction,audited_candidate_available,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,reproduction,local_pdf_available,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,3,1,2,0,0,1,table:Table 2:p5,table:Table 2:p5 :: Table 2. Montastrea annularis. Fecundity (eggs per polyp) and aspects of reproductive effort for coral tissue adjacent to lesions and tissue more than 20 cm distant from lesion. One-way ANOVA F-values compare regenerated and normal samples.,,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-32a1561c-survival,audited_candidate_available,32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,3,3,0,0,0,3,figure:Fig. 1:p3|table:Table 1:p4|figure:Fig. 2:p4,"figure:Fig. 1:p3 :: Fig. 1. A single parrotfish (C. microrhinos) feeding scar, a scar cluster on the surface of a Porites colony, and a single scar resulting in partial coral mortality surrounding a scar. || table:Table 1:p4 :: Table 1. Results of the binary General Linear Model assessing the influence of initial scar count and colony size on the fate of feeding scars (n = 30). || figure:Fig. 2:p4 :: Fig. 2. Logistic model of the relationship between the probability of feeding scar recovery, the number of feeding scars initially recorded, and the initial area-to-perimeter ratio. Each dot marks the final status of a scar after four months of monitoring as fully recovered, reduced, or expanded.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-33b7b9b2-rate,audited_candidate_available,33b7b9b2-9041-454b-bba3-abfadd68029f,Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Hall et al. - 2015 - Lesion recovery of two scleractinian corals under low pH conditions Implications for restoration ef.pdf,5,2,3,0,0,2,figure:Fig. 1:p3|figure:Fig. 2:p4,"figure:Fig. 1:p3 :: Fig. 1. Lesion recovery of representative Porites porites and P. astreoides after 10 days under 2 pH conditions (C-8.1 and L-7.6) and for 2 fragment sizes (1 x 1 cm and 5 x 5 cm). || figure:Fig. 2:p4 :: Fig. 2. Average percent lesion recovery (mean +/- SEM, n = 9) after 10 days for (A) Porites porites and (B) P. astreoides in low (L-7.6) and control (C-8.1) pH and two fragment sizes (1 x 1 cm and 5 x 5 cm).",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-33d2bc0d-survival,no_valid_candidate_found,33d2bc0d-ec51-4225-a216-bf74b34fa89d,Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Rotjan et al. - 2006 - Chronic parrotfish grazing impedes coral recovery after bleaching.pdf,5,0,0,5,0,0,,,figure:Fig. 1:p3|figure:Fig. 2:p5|figure:Fig. 3:p5|figure:Fig. 4:p6|table:Table 2:p7,no,Do not clip this response from figures/tables unless a later full-text review finds non-caption evidence.
DIG-347f789a-rate,audited_candidate_available,347f789a-ef73-4089-aa77-0e46f2b2d196,Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,rate,local_pdf_available,literature/META_ANALYSIS_POOL/Townsend et al. - 2023 - Differing lesion recovery rates of two Caribbean stony coral species across a shallow water to mesop.pdf,4,4,0,0,0,4,figure:Fig. 1:p4|figure:Fig. 2:p7|table:Table 1:p6|table:Table 2:p8,"figure:Fig. 1:p4 :: Fig. 1. Sample images of lesion generation and recovery on an O. franksi individual and an A. lamarcki individual through time, including lesion boundaries used for determining tissue regeneration rate and lesion closure rate and polygons used for pigmentation recovery measurements. || figure:Fig. 2:p7 :: Fig. 2. Tissue regeneration rates, lesion closure rates, and pigmentation recovery rates for O. franksi individuals and A. lamarcki individuals. Points indicate actual values and lines indicate best-fit regression modeling outputs. || table:Table 1:p6 :: Table 1. Slope, significant terms and r2 value of all linear regressions tested for O. franksi; Orbicella franksi recovery model summaries. || table:Table 2:p8 :: Table 2. Slope, significant terms and r2 value of all linear regressions tested for A. lamarcki; Agaricia lamarcki recovery model summaries.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-398d01aa-survival,audited_candidate_available,398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,survival,local_pdf_available,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,5,5,0,0,0,5,table:Table 4:p6|figure:Figure 3:p9|table:Table 1:p5|table:Table 2:p5|table:Table 3:p6,"table:Table 4:p6 :: Table 4. Partial mortality measured as lesion size (cm2) in Acropora palmata, Diploria strigosa, and Porites astreoides. Lesions are grouped into type I and type II; Acropora lesions are separated by branch side. || figure:Figure 3:p9 :: Figure 3. Percentage of colonies with and without partial mortality in colony size classes of Diploria strigosa and Porites astreoides. Total number of colonies is shown in white bars. || table:Table 1:p5 :: Table 1. Geometric mean number of lesions per colony and per square meter and percent colonies damaged for the three surveyed species. || table:Table 2:p5 :: Table 2. Acropora palmata. Relation of lesion abundance to reef location, lesion type, and branch side. || table:Table 3:p6 :: Table 3. Number of lesions per branch per colony, including geometric mean of type I and II lesions, damaged branches, and maximum number per branch.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-3d374a40-growth,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",growth,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",5,2,3,0,0,2,table:Table 1:p3|table:Table 2:p8,"table:Table 1:p3 :: Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold. || table:Table 2:p8 :: Table 2. Coral fragments' average growth rate ± standard deviation in the three temperature experiments (g g−1 day−1). NA – not available.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-3d374a40-rate,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",rate,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",5,4,1,0,0,2,table:Table 3:p8|table:Table 1:p3,"table:Table 3:p8 :: Table 3. Coral fragments' average regeneration rate ± standard deviation in the three temperature experiments (mm2 day−1) measured until complete regeneration or the last time point they were still alive. For more information see Supplementary material – Table 1. || table:Table 1:p3 :: Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold.",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
DIG-3d374a40-survival,audited_candidate_available,3d374a40-79d3-413b-99c2-670f9da97bef,"Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",survival,local_pdf_available,"literature/META_ANALYSIS_POOL/Dias et al. - 2018 - Mortality, growth and regeneration following fragmentation of reef-forming corals under thermal stre.pdf",5,2,3,0,0,3,figure:Fig. 1:p5|table:Table 1:p3|figure:Fig. 2:p6,"figure:Fig. 1:p5 :: Fig. 1. Mortality of the coral species' fragments studied throughout the three temperature experiments. || table:Table 1:p3 :: Table 1. Summary of results of PERMANOVA permutation tests applied to report the effects of temperature, coral species and presence/absence of injury in coral fragments' mortality, partial mortality, growth and regeneration rates. Significant differences are marked in bold. || figure:Fig. 2:p6 :: Fig. 2. Partial mortality of the coral species' fragments studied throughout the three temperature experiments separated in percentage classes [0,25%[, [25,50%[, [50,75%[ and [75,100%].",,no,"Confirm panel/axis details visually, then clip from recommended candidate(s)."
