location_row_id,source_id,paper_title,changed_location_fields,approx_basis,approx_confidence
loc_107,d3d8c44a-eb30-458a-9f59-d93894d9305b,"Lock - Quantifying physiological responses to physical injury in Porites lobata, using a transcriptomic app.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,study_extent_midpoint,medium
loc_108,9189fc2a-add9-4066-aebe-ad7bfaa7973b,Luz et al. - 2018 - A polyp from nothing The extreme regeneration capacity of the Atlantic invasive sun corals Tubastra.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,island_centroid,medium
loc_110,66c25dd3-3ef3-4d36-9930-e9b3e852913d,Madeira et al. - 2022 - Does Predation Exacerbate the Risk of Endosymbiont Loss in Heat Stressed Hermatypic Corals Molecula.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_112,e957b976-8e47-418c-be44-723926e87225,"Meszaros and Bigger - 1999 - Qualitative and Quantitative Study of Wound Healing Processes in the Coelenterate,Plexaurella fusife.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_114,86b70912-c65a-4dfd-8cdc-211d14ecd270,Oren et al. - 1997 - Oriented intra-colonial transport of 14C labeled materials during coral regeneration.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_115,dde2eb4e-630f-4dd2-a809-c749772d9523,"Oren et al. - 1998 - Prudent sessile feeding by the corallivore snail, Coralliophila violacea on coral energy sinks.pdf",latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_116,2e735d26-55d4-4833-a8a9-56496e2d0d3c,Palmer et al. - 2011 - Corals Use Similar Immune Cells and Wound-Healing Processes as Those of Higher Organisms.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,bay_centroid,high
loc_117,b2fc2ce3-e11e-4453-a3be-0df3d15d5454,Paradis et al. - 2019 - Compound effects of thermal stress and tissue abrasion on photosynthesis and respiration in the reef.pdf,approx_location_notes,,
loc_118,2eab453f-4b4d-4f55-9502-32cb410dbaad,Pavia Jr and Estacion - 2019 - Survival and Growth of Isolated Polyps of Galaxea fascicularis (Linnaeus 1767) on Six Kinds of Cultu.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,high
loc_124,e2690aff-5a20-4205-9f93-4c0f46c8d749,Rodríguez-Villalobos et al. - 2016 - Wound repair in Pocillopora.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,bay_centroid,medium
loc_125,0fef76ae-f8a7-4598-a71e-60277ed13b79,Roff et al. - 2014 - Porites and the Phoenix effect unprecedented recovery after a mass coral bleaching event at Rangiro.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,island_centroid,medium
loc_132,4fc235cc-a40d-405f-b8f5-2e7a160ba81d,Wahle - 1983 - Regeneration of injuries among jamaican gorgonians the roles of colony physiology and environment.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,town_or_lab_centroid,medium
loc_133,e7ee472d-e9fc-4023-a4ff-b860c0de5b21,Work and Aeby - 2010 - Wound repair in Montipora capitata.pdf,latitude_approx; longitude_approx; approx_coordinate_basis; approx_coordinate_confidence; approx_location_notes,site_facility_centroid,high
loc_134,433e1015-ffac-46ef-ba6e-e4c132eac52b,Xu et al. - 2023 - Wound healing and regeneration in the reef building coral Acropora millepora.pdf,approx_location_notes,,
