normalized_row_id,source_table,source_row,source_id,response_type,paper_title,local_relpath,analysis_ready,readiness_status,blocking_issue_count,blocking_issues,warning_issues,next_action,taxon_raw,outcome_type,treatment_or_stressor,response_value,response_unit,rate_value,rate_unit,rate_derivation_basis,observation_type,control_value,wounded_value,variance_type,variance_value,sample_size,duration_days,timepoint_or_interval,figure_or_table_label,page,panel_label,qa_status,evidence_key,extraction_provenance,calculation_notes,value_data_file,matched_crop_count,matched_crop_paths,matched_crop_review_statuses,matched_final_clip_paths,matched_digitized_data_paths,concrete_digitized_data_files,concrete_final_clip_files
EXTRACTION_FITNESS-5,data/extraction/EXTRACTION_FITNESS.csv,5,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea annularis (Bumpy),Eggs/Polyp,Natural/Regenerating Lesion,,,,,,Eggs/Polyp,69.9,35.0,SD,,225,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Control sampled >20cm away,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-6,data/extraction/EXTRACTION_FITNESS.csv,6,2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,reproduction,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea annularis (Massive),Eggs/Polyp,Natural/Regenerating Lesion,,,,,,Eggs/Polyp,29.2,7.6,SD,,261,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Significant reduction in fecundity,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-7,data/extraction/EXTRACTION_FITNESS.csv,7,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,reproduction,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Pocillopora damicornis,Reproductive Potential (IRP),Experimental Fragmentation,,,,,,Reproductive Potential (IRP),43.94,59.58,SE,,36,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Counter-intuitive increase in fecundity,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-8,data/extraction/EXTRACTION_FITNESS.csv,8,635d9cb2-270b-4bcc-b676-c84b81b0620b,reproduction,Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,literature/META_ANALYSIS_POOL/Soong and Lang - 1992 - Reproductive Integration in Reef Corals.pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Siderastrea radians,Eggs/20 mesenteries,Experimental Artificial Margin,,,,,,Eggs/20 mesenteries,13.0,6.0,None,,29,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Paired comparison within colony,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-9,data/extraction/EXTRACTION_FITNESS.csv,9,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,reproduction,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora palmata,% Colonies with Gametes,Natural Hurricane Damage,,,,,,% Colonies with Gametes,80,0,None,,10,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Comparison of undamaged vs damaged colonies,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-10,data/extraction/EXTRACTION_FITNESS.csv,10,fe532d7a-f878-4a85-962a-7de43d06a80c,reproduction,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,0,blocked,3,source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea annularis,Egg Area (mm2),Parrotfish Grazing,,,,,,Egg Area (mm2),0.055,0.049,SE,,24,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Sampled adjacent to scars,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-11,data/extraction/EXTRACTION_FITNESS.csv,11,26babed0-9e6c-4621-9dca-9253eb39b9fb,growth,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),Growth (mg cm-2 d-1),Excavated Damage,,,,,,Growth (mg cm-2 d-1),2.83,1.72,SE,,8,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Significant growth reduction,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-12,data/extraction/EXTRACTION_FITNESS.csv,12,26babed0-9e6c-4621-9dca-9253eb39b9fb,growth,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Pocillopora meandrina,Growth (mg cm-2 d-1),Excavated Damage,,,,,,Growth (mg cm-2 d-1),2.15,0.99,SE,,8,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,54% reduction in growth,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-13,data/extraction/EXTRACTION_FITNESS.csv,13,b0949a7c-520e-4a37-af04-25979598ec2d,growth,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),Growth (mg cm-2 d-1),Wounding (26.7C),,,,,,Growth (mg cm-2 d-1),1.39,1.74,SE,,10,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Compensatory growth observed,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-14,data/extraction/EXTRACTION_FITNESS.csv,14,b0949a7c-520e-4a37-af04-25979598ec2d,growth,Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,literature/META_ANALYSIS_POOL/Edmunds and Lenihan - 2010 - Effect of sub-lethal damage to juvenile colonies of massive Porites spp. under contrasting regimes o.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),Growth (mg cm-2 d-1),Wounding (29.6C),,,,,,Growth (mg cm-2 d-1),1.58,1.18,SE,,10,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Growth inhibition at high temp,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-15,data/extraction/EXTRACTION_FITNESS.csv,15,2e3b055f-28df-4def-97aa-660ac537a95f,growth,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),Calcification (mg cm-2 d-1),Acidification (pH 7.6),,,,,,Calcification (mg cm-2 d-1),0.79,0.6,SE,,20,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,No significant wounding effect,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-16,data/extraction/EXTRACTION_FITNESS.csv,16,c84ce087-58f5-4e19-a373-34f57299f6d0,growth,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Montastraea annularis,Calcification (mg cm-2 d-1),Experimental Lesion,,,,,,Calcification (mg cm-2 d-1),2.19,1.49,SE,,20,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Immediate calcification decrease,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_FITNESS-17,data/extraction/EXTRACTION_FITNESS.csv,17,d110a8f5-278e-4ba7-a502-32eb61aed5cb,growth,Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,literature/META_ANALYSIS_POOL/Lirman et al. - 2010 - Propagation of the threatened staghorn coral Acropora cervicornis methods to minimize the impacts o.pdf,0,blocked,4,time_or_duration_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora cervicornis,Linear Growth (cm d-1),Fragmentation,,,,,,Linear Growth (cm d-1),0.04,0.015,SD,,30,,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Short-term growth slowdown,data/extraction/EXTRACTION_FITNESS.csv,0,,,,,,
EXTRACTION_SURVIVAL-2,data/extraction/EXTRACTION_SURVIVAL.csv,2,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,survival,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Pocillopora damicornis,,Experimental Fragmentation,,,,,,,14,24,,,,395,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,58% mortality in fragments,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
EXTRACTION_SURVIVAL-3,data/extraction/EXTRACTION_SURVIVAL.csv,3,6dffe94d-a664-4a6c-8daf-f25ecfa5b50d,survival,"Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf","literature/META_ANALYSIS_POOL/Ward - 1995 - The effect of damage on the growth, reproduction and storage of lipids in the scleractinian coral Po.pdf",0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Pocillopora damicornis,,Experimental Dislodgement,,,,,,,14,33,,,,395,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,60% mortality in dislodged corals,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
EXTRACTION_SURVIVAL-4,data/extraction/EXTRACTION_SURVIVAL.csv,4,002a60bc-55c8-4fdb-860a-1169fc99b2a8,survival,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),,Snail Predation,,,,,,,11,11,,,,42,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,31% mortality with snails,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
EXTRACTION_SURVIVAL-5,data/extraction/EXTRACTION_SURVIVAL.csv,5,002a60bc-55c8-4fdb-860a-1169fc99b2a8,survival,Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,literature/META_ANALYSIS_POOL/Rice et al. - 2021 - Complex interactions with nutrients and sediment a.pdf,0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Porites spp. (massive),,Sediment + Snail,,,,,,,11,11,,,,42,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Sediment did not further increase mortality,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
EXTRACTION_SURVIVAL-6,data/extraction/EXTRACTION_SURVIVAL.csv,6,e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,survival,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora palmata,,Storm Fragmentation,,,,,,,25,25,,,,1460,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,40% tissue mortality in transplants,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
EXTRACTION_SURVIVAL-7,data/extraction/EXTRACTION_SURVIVAL.csv,7,12e9e864-5ff1-42c4-a63d-19b5d62a7464,survival,Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,literature/META_ANALYSIS_POOL/Bak and Es - REGENERATION OF SUPERFICIAL DAMAGE IN THE SCLERACTINIAN CORALS AGARCA AGARCTES F. PURPUREA AND P.pdf,0,blocked,4,sample_size_missing|source_provenance_missing|page_missing|qa_status_not_ready,,"Record exact figure/table label, page, panel, and evidence key from the PDF before QC.",Acropora cervicornis,,Disease following damage,,,,,,,0,0,,,,0,,,,,needs_source_provenance_review,,legacy_extraction_row; exact figure/table provenance not yet recorded,Survival negatively impacted by post-wound disease,data/extraction/EXTRACTION_SURVIVAL.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-2,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,2,c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,rate,,,0,blocked,4,qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora pulchra,event_proportion,all treatments pooled,13/14,corals with at least two healing signs,,,time_to_closure,event_proportion,,,,,14,,19 d,Figure 1; Table 1,17,,extracted_needs_independent_qc,pdf_page_17_text,,Prose reports 92 percent or 13 of 14 fragments by day 19; event definition is at least two of polyp corallite or tissue regeneration.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-3,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,3,12939915-cb9c-4190-9682-7477eb8d2698,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora aspera,endpoint_complete_regrowth,ambient SST 26 C,complete,apical tip regrowth,,,time_to_closure,endpoint_complete_regrowth,,,,,5,,12 d,Figures 2A-2F,7,,extracted_needs_independent_qc,pdf_page_7_text,,Ambient injured colonies had complete apical tip regrowth by experimental day 12.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-4,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,4,12939915-cb9c-4190-9682-7477eb8d2698,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora aspera,linear_extension_endpoint,ambient SST 26 C,1.44,mm apical extension,,,time_series_wound_size,linear_extension_endpoint,,,,,5,,6 d,Figure 5,9,,extracted_needs_independent_qc,pdf_page_9_text,,SEM endpoint from fixed landmark to apical tip; ambient extension evident by day 6.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-5,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,5,12939915-cb9c-4190-9682-7477eb8d2698,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora aspera,linear_extension_endpoint,ambient SST 26 C,2.2,mm apical extension,,,time_series_wound_size,linear_extension_endpoint,,,,,5,,12 d,Figure 5,9,,extracted_needs_independent_qc,pdf_page_9_text,,SEM endpoint from fixed landmark to apical tip; complete extension evident by day 12.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
RATE_EXTRACTED_OBSERVATIONS-6,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,6,12939915-cb9c-4190-9682-7477eb8d2698,rate,,,0,blocked,5,variance_missing|qa_status_not_ready|figure_crop_missing|figure_final_clip_missing|figure_digitized_data_missing,,"Review crop box/panel, create final clip, digitize or transcribe the data file, then independently QC the extracted row.",Acropora aspera,linear_extension_endpoint,sub-bleaching SST 32 C,0.5,mm apical extension,,,time_series_wound_size,linear_extension_endpoint,,,,,5,,10 d,Figure 5,9,,extracted_needs_independent_qc,pdf_page_9_text,,Elevated-temperature treatment had emergent apical tip in some samples by day 10 with only about 0.5 mm extension.,data/extraction/rate/RATE_EXTRACTED_OBSERVATIONS.csv,0,,,,,,
